# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.AutoSklearnClassifier.agrawal_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,1.000000,1.000000,1.000000,1.000000
300,1.000000,1.000000,1.000000,1.000000
500,1.000000,1.000000,1.000000,1.000000
700,1.000000,1.000000,1.000000,1.000000
900,1.000000,1.000000,1.000000,1.000000
1100,1.000000,1.000000,1.000000,1.000000
1300,1.000000,1.000000,1.000000,1.000000
1500,1.000000,1.000000,1.000000,1.000000
1700,1.000000,1.000000,1.000000,1.000000
1900,1.000000,1.000000,1.000000,1.000000
2100,1.000000,1.000000,1.000000,1.000000
2300,1.000000,1.000000,1.000000,1.000000
2500,1.000000,1.000000,1.000000,1.000000
2700,1.000000,1.000000,1.000000,1.000000
2900,1.000000,1.000000,1.000000,1.000000
3100,1.000000,1.000000,1.000000,1.000000
3300,1.000000,1.000000,1.000000,1.000000
3500,1.000000,1.000000,1.000000,1.000000
3700,1.000000,1.000000,1.000000,1.000000
3900,1.000000,1.000000,1.000000,1.000000
4100,1.000000,1.000000,1.000000,1.000000
4300,1.000000,1.000000,1.000000,1.000000
4500,0.988913,0.745000,0.974873,0.465297
4700,0.969792,0.530000,0.931666,0.020833
4900,0.946600,0.390000,0.879923,-0.223548
5100,0.926154,0.415000,0.834632,-0.193634
5300,0.909259,0.470000,0.797636,-0.084288
5500,0.895000,0.510000,0.766840,0.006589
5700,0.879655,0.450000,0.733474,-0.121877
5900,0.867500,0.515000,0.707332,0.048647
6100,0.853065,0.420000,0.676799,-0.162907
6300,0.840938,0.465000,0.650951,-0.105829
6500,0.830303,0.490000,0.629225,-0.018066
6700,0.819853,0.475000,0.607077,-0.067507
6900,0.809571,0.460000,0.585751,-0.089478
7100,0.800000,0.465000,0.565650,-0.101730
7300,0.791081,0.470000,0.548107,-0.054097
7500,0.784474,0.540000,0.534737,0.061990
7700,0.775641,0.440000,0.516904,-0.122582
7900,0.766625,0.415000,0.498599,-0.181818
8100,0.758171,0.420000,0.481160,-0.175994
8300,0.750952,0.455000,0.466015,-0.134944
8500,0.745698,0.525000,0.455152,0.022634
8700,0.741023,0.540000,0.445650,0.054276
8900,0.735556,0.495000,0.434229,-0.042097
9100,0.729674,0.465000,0.422367,-0.081026
9300,0.723191,0.425000,0.408820,-0.188999
9500,0.718958,0.520000,0.400195,0.016393
9700,0.714184,0.485000,0.390783,-0.033514
9900,0.708100,0.410000,0.378528,-0.201018
