# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.AutoSklearnClassifier.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.805000,0.805000,0.723894,0.723894
399,0.747500,0.690000,0.650144,0.579633
599,0.698333,0.600000,0.589384,0.469531
799,0.651250,0.510000,0.534511,0.372278
999,0.614000,0.465000,0.495851,0.334494
1199,0.586667,0.450000,0.465091,0.310863
1399,0.559286,0.395000,0.438842,0.292832
1599,0.533750,0.355000,0.429313,0.192968
1799,0.535556,0.550000,0.442314,0.424313
1999,0.533500,0.515000,0.445894,0.409814
2199,0.524545,0.435000,0.439304,0.295050
2399,0.507500,0.320000,0.423661,0.192567
2599,0.499615,0.405000,0.416632,0.292172
2799,0.489643,0.360000,0.407691,0.235844
2999,0.475667,0.280000,0.393978,0.141733
3199,0.468438,0.360000,0.387254,0.240807
3399,0.459412,0.315000,0.377471,0.174972
3599,0.448889,0.270000,0.366006,0.134635
3799,0.441579,0.310000,0.358396,0.161222
3999,0.440500,0.420000,0.357145,0.243215
4199,0.452857,0.700000,0.371290,0.540898
4399,0.453409,0.465000,0.371947,0.178156
4599,0.453261,0.450000,0.370674,0.142735
4799,0.447917,0.325000,0.363536,0.083907
4999,0.438800,0.220000,0.352491,-0.005219
5199,0.436923,0.390000,0.349535,0.217848
5399,0.439259,0.500000,0.350808,0.285638
5599,0.439464,0.445000,0.348569,0.172938
5799,0.435172,0.315000,0.343544,0.207153
5999,0.423667,0.090000,0.331727,0.017332
6199,0.416452,0.200000,0.324986,0.058907
6399,0.414531,0.355000,0.323189,0.248624
6599,0.427576,0.845000,0.335216,0.653844
6799,0.436912,0.745000,0.344226,0.610895
6999,0.449429,0.875000,0.357908,0.840571
7199,0.461111,0.870000,0.371854,0.833435
7399,0.472162,0.870000,0.385561,0.832609
7599,0.484211,0.930000,0.401028,0.864315
7799,0.495641,0.930000,0.415337,0.874972
7999,0.505500,0.890000,0.427381,0.841647
8199,0.508293,0.620000,0.431197,0.489024
8399,0.506786,0.445000,0.429882,0.311414
8599,0.505465,0.450000,0.428240,0.343910
8799,0.503409,0.415000,0.425741,0.280288
8999,0.498556,0.285000,0.420224,0.161192
9199,0.495652,0.365000,0.416767,0.229486
9399,0.495532,0.490000,0.416481,0.363931
9599,0.493229,0.385000,0.413574,0.118216
9799,0.490816,0.375000,0.410497,0.163320
9999,0.486200,0.260000,0.405136,0.175832
