# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.AutoSklearnClassifier.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.800000,0.800000,0.606299,0.606299
399,0.732500,0.665000,0.456439,0.291005
599,0.763333,0.825000,0.504881,0.591599
799,0.757500,0.740000,0.505666,0.503864
999,0.774000,0.840000,0.534880,0.651226
1199,0.801667,0.940000,0.597870,0.877613
1399,0.790714,0.725000,0.577784,0.481034
1599,0.795625,0.830000,0.582955,0.568966
1799,0.798889,0.825000,0.588915,0.638355
1999,0.802500,0.835000,0.595758,0.659372
2199,0.795455,0.725000,0.579300,0.414146
2399,0.783750,0.655000,0.557194,0.367553
2599,0.781923,0.760000,0.552880,0.502075
2799,0.780714,0.765000,0.553416,0.520506
2999,0.783333,0.820000,0.560180,0.639025
3199,0.786563,0.835000,0.567799,0.669339
3399,0.786176,0.780000,0.568105,0.557344
3599,0.787222,0.805000,0.570778,0.610312
3799,0.787368,0.790000,0.571867,0.577252
3999,0.793250,0.905000,0.584133,0.810000
4199,0.797143,0.875000,0.591881,0.748744
4399,0.792273,0.690000,0.582571,0.393821
4599,0.793478,0.820000,0.585522,0.630693
4799,0.794375,0.815000,0.587176,0.625809
4999,0.794600,0.800000,0.587622,0.604938
5199,0.798654,0.900000,0.596446,0.775583
5399,0.800926,0.860000,0.601121,0.719411
5599,0.801964,0.830000,0.603193,0.659592
5799,0.803621,0.850000,0.606209,0.674726
5999,0.804500,0.830000,0.607451,0.595575
6199,0.801774,0.720000,0.601586,0.395183
6399,0.799219,0.720000,0.595693,0.290421
6599,0.794697,0.650000,0.586387,0.296412
6799,0.791912,0.700000,0.581262,0.388005
6999,0.790857,0.755000,0.578718,0.464481
7199,0.790833,0.790000,0.578550,0.571122
7399,0.790135,0.765000,0.577037,0.520897
7599,0.787763,0.700000,0.572661,0.418154
7799,0.788590,0.820000,0.574396,0.640539
7999,0.790750,0.875000,0.579295,0.733191
8199,0.792195,0.850000,0.582185,0.698098
8399,0.792976,0.825000,0.584083,0.640509
8599,0.793140,0.800000,0.584364,0.601792
8799,0.794432,0.850000,0.587251,0.692150
8999,0.795778,0.855000,0.590042,0.710521
9199,0.792717,0.655000,0.583979,0.335900
9399,0.792447,0.780000,0.583087,0.489559
9599,0.793854,0.860000,0.586041,0.720447
9799,0.794286,0.815000,0.586860,0.631180
9999,0.792400,0.700000,0.582438,0.050633
