# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.AutoSklearnClassifier.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.735000,0.735000,0.470000,0.470000
399,0.725000,0.715000,0.449890,0.427941
599,0.740000,0.770000,0.480052,0.540689
799,0.733750,0.715000,0.467527,0.430000
999,0.741000,0.770000,0.482000,0.540138
1199,0.730000,0.675000,0.459800,0.343567
1399,0.732143,0.745000,0.464069,0.489694
1599,0.731875,0.730000,0.463254,0.454270
1799,0.727222,0.690000,0.454040,0.380186
1999,0.728000,0.735000,0.455761,0.471058
2199,0.725455,0.700000,0.450793,0.402093
2399,0.723333,0.700000,0.446568,0.400779
2599,0.721154,0.695000,0.442155,0.388410
2799,0.723214,0.750000,0.446015,0.495001
2999,0.723333,0.725000,0.446465,0.448456
3199,0.726250,0.770000,0.452549,0.536990
3399,0.723529,0.680000,0.447020,0.363817
3599,0.724722,0.745000,0.449509,0.488157
3799,0.722632,0.685000,0.445418,0.372260
3999,0.725250,0.775000,0.450621,0.547648
4199,0.723333,0.685000,0.446709,0.368231
4399,0.721818,0.690000,0.443665,0.380062
4599,0.720000,0.680000,0.440060,0.359488
4799,0.721875,0.765000,0.443725,0.526687
4999,0.723400,0.760000,0.446639,0.513776
5199,0.720577,0.650000,0.440981,0.300210
5399,0.720185,0.710000,0.440212,0.420174
5599,0.718929,0.685000,0.437669,0.368231
5799,0.718621,0.710000,0.437083,0.419768
5999,0.718333,0.710000,0.436507,0.419826
6199,0.717581,0.695000,0.434922,0.386811
6399,0.718125,0.735000,0.436092,0.473161
6599,0.719091,0.750000,0.438091,0.500998
6799,0.717941,0.680000,0.435784,0.359744
6999,0.718571,0.740000,0.437031,0.479532
7199,0.718194,0.705000,0.436356,0.412468
7399,0.718378,0.725000,0.436767,0.449560
7599,0.718421,0.720000,0.436826,0.436903
7799,0.716538,0.645000,0.433031,0.288720
7999,0.716750,0.725000,0.433458,0.450659
8199,0.715976,0.685000,0.431920,0.370629
8399,0.715238,0.685000,0.430446,0.370000
8599,0.715233,0.715000,0.430465,0.434412
8799,0.715227,0.715000,0.430504,0.439087
8999,0.714333,0.675000,0.428650,0.341305
9199,0.714022,0.700000,0.428032,0.400540
9399,0.714149,0.720000,0.428229,0.430894
9599,0.713542,0.685000,0.427044,0.371257
9799,0.713265,0.700000,0.426497,0.400300
9999,0.712300,0.665000,0.424639,0.336896
