# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.AutoSklearnClassifier.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,1.000000,1.000000,1.000000,1.000000
399,1.000000,1.000000,1.000000,1.000000
599,0.993333,0.980000,0.980812,0.961285
799,0.988750,0.975000,0.969632,0.942363
999,0.989000,0.990000,0.971321,0.976844
1199,0.990833,1.000000,0.976504,1.000000
1399,0.982857,0.935000,0.959659,0.877745
1599,0.911875,0.415000,0.817620,-0.087361
1799,0.906111,0.860000,0.802985,0.669148
1999,0.914000,0.985000,0.813673,0.947479
2199,0.920909,0.990000,0.825153,0.971048
2399,0.927500,1.000000,0.838129,1.000000
2599,0.923077,0.870000,0.837131,0.728204
2799,0.913214,0.785000,0.823863,0.554773
2999,0.917000,0.970000,0.828017,0.888879
3199,0.921562,0.990000,0.834294,0.963716
3399,0.925882,0.995000,0.841419,0.985775
3599,0.925556,0.920000,0.845053,0.842123
3799,0.928158,0.975000,0.854270,0.926046
3999,0.929750,0.960000,0.854931,0.770445
4199,0.932857,0.995000,0.859019,0.976744
4399,0.935682,0.995000,0.862956,0.980119
4599,0.936957,0.965000,0.866516,0.934012
4799,0.938125,0.965000,0.868718,0.921450
4999,0.939400,0.970000,0.871849,0.940215
5199,0.917115,0.360000,0.827300,0.035491
5399,0.903333,0.545000,0.799685,0.216598
5599,0.903929,0.920000,0.799774,0.800025
5799,0.905690,0.955000,0.802332,0.885467
5999,0.896000,0.615000,0.783991,0.332611
6199,0.883710,0.515000,0.760484,0.214861
6399,0.886563,0.975000,0.764342,0.916304
6599,0.889242,0.975000,0.768530,0.932010
6799,0.876471,0.455000,0.744352,0.136292
6999,0.877429,0.910000,0.745007,0.760288
7199,0.880139,0.975000,0.748453,0.903400
7399,0.880135,0.880000,0.748799,0.766888
7599,0.880658,0.900000,0.749598,0.783198
7799,0.878333,0.790000,0.746340,0.631999
7999,0.863500,0.285000,0.718942,-0.116490
8199,0.861098,0.765000,0.714085,0.524989
8399,0.859762,0.805000,0.711198,0.611786
8599,0.845930,0.265000,0.686037,-0.083671
8799,0.844886,0.800000,0.682899,0.513826
8999,0.844444,0.825000,0.681814,0.636552
9199,0.834022,0.365000,0.661962,0.066417
9399,0.836064,0.930000,0.663702,0.693855
9599,0.834688,0.770000,0.662223,0.603500
9799,0.829490,0.580000,0.652855,0.322171
9999,0.820400,0.375000,0.636975,-0.034511
