# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.AutoSklearnClassifier.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.855000,0.855000,0.654350,0.654350
399,0.852500,0.850000,0.643698,0.632668
599,0.858333,0.870000,0.651839,0.668367
799,0.853750,0.840000,0.640033,0.604401
999,0.860000,0.885000,0.654517,0.713431
1199,0.854167,0.825000,0.642041,0.582737
1399,0.857857,0.880000,0.649122,0.692938
1599,0.858750,0.865000,0.650960,0.665096
1799,0.863333,0.900000,0.661905,0.750343
1999,0.864500,0.875000,0.663589,0.678911
2199,0.862273,0.840000,0.660599,0.630783
2399,0.864583,0.890000,0.667728,0.741632
2599,0.866923,0.895000,0.672310,0.729521
2799,0.865357,0.845000,0.667803,0.607297
2999,0.864000,0.845000,0.664299,0.614907
3199,0.865938,0.895000,0.667127,0.711301
3399,0.866471,0.875000,0.667382,0.670706
3599,0.865556,0.850000,0.664732,0.618902
3799,0.867105,0.895000,0.669658,0.752417
3999,0.865250,0.830000,0.666271,0.606846
4199,0.862857,0.815000,0.660399,0.543773
4399,0.862045,0.845000,0.657555,0.593283
4599,0.861957,0.860000,0.657629,0.659160
4799,0.861042,0.840000,0.657532,0.649123
4999,0.861000,0.860000,0.656326,0.622489
5199,0.859423,0.820000,0.653122,0.576471
5399,0.859815,0.870000,0.653259,0.655584
5599,0.861429,0.905000,0.657036,0.761006
5799,0.860862,0.845000,0.655757,0.620284
5999,0.861667,0.885000,0.657074,0.699268
6199,0.860645,0.830000,0.656307,0.628375
6399,0.862656,0.925000,0.660145,0.790737
6599,0.863030,0.875000,0.661589,0.704841
6799,0.863676,0.885000,0.662912,0.707677
6999,0.863857,0.870000,0.663072,0.668367
7199,0.864028,0.870000,0.662804,0.653333
7399,0.863378,0.840000,0.660074,0.540494
7599,0.863158,0.855000,0.659796,0.649928
7799,0.862821,0.850000,0.659047,0.630906
7999,0.862875,0.865000,0.659642,0.680851
8199,0.863780,0.900000,0.660618,0.699339
8399,0.865119,0.920000,0.663883,0.799474
8599,0.865465,0.880000,0.664643,0.696970
8799,0.865455,0.865000,0.665042,0.680549
8999,0.864444,0.820000,0.661955,0.511997
9199,0.864239,0.855000,0.660914,0.608320
9399,0.864149,0.860000,0.660063,0.614059
9599,0.863542,0.835000,0.659362,0.626274
9799,0.863980,0.885000,0.660254,0.704142
9999,0.863500,0.840000,0.658816,0.585546
