# TEST CONFIGURATION BEGIN
# FileStream(filename='weather.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.AutoSklearnClassifier.weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.825000,0.825000,0.479477,0.479477
399,0.777500,0.730000,0.467831,0.427966
599,0.811667,0.880000,0.502845,0.567334
799,0.782500,0.695000,0.471779,0.363655
999,0.798000,0.860000,0.497512,0.609211
1199,0.805833,0.845000,0.531846,0.666810
1399,0.810000,0.835000,0.532653,0.528032
1599,0.815625,0.855000,0.540293,0.595424
1799,0.815000,0.810000,0.538737,0.526421
1999,0.819500,0.860000,0.540461,0.538487
2199,0.813182,0.750000,0.529641,0.439273
2399,0.811667,0.795000,0.521254,0.410072
2599,0.801923,0.685000,0.506696,0.336423
2799,0.805357,0.850000,0.505386,0.425397
2999,0.802000,0.755000,0.501851,0.449314
3199,0.802188,0.805000,0.494075,0.283352
3399,0.800294,0.770000,0.484274,0.282595
3599,0.798056,0.760000,0.476486,0.346761
3799,0.796579,0.770000,0.473027,0.416836
3999,0.793000,0.725000,0.467438,0.386161
4199,0.795714,0.850000,0.472306,0.575972
4399,0.793409,0.745000,0.464572,0.294411
4599,0.793913,0.805000,0.461716,0.365854
4799,0.790625,0.715000,0.452875,0.256263
4999,0.790800,0.795000,0.449353,0.325658
5199,0.790962,0.795000,0.445440,0.295290
5399,0.791852,0.815000,0.445322,0.435115
5599,0.791786,0.790000,0.445362,0.447005
5799,0.792069,0.800000,0.445683,0.454669
5999,0.793500,0.835000,0.444754,0.372624
6199,0.792258,0.755000,0.442213,0.368394
6399,0.794531,0.865000,0.442577,0.400799
6599,0.794091,0.780000,0.441828,0.418605
6799,0.796324,0.870000,0.441950,0.371221
6999,0.796571,0.805000,0.446717,0.561009
7199,0.796806,0.805000,0.447316,0.469243
7399,0.796081,0.770000,0.448108,0.461547
7599,0.794211,0.725000,0.445087,0.343675
7799,0.795128,0.830000,0.444597,0.398762
7999,0.793375,0.725000,0.443759,0.404117
8199,0.792073,0.740000,0.440735,0.335463
8399,0.789167,0.670000,0.438891,0.349561
8599,0.788953,0.780000,0.438391,0.423480
8799,0.788295,0.760000,0.441337,0.498328
8999,0.788889,0.815000,0.443152,0.521469
9199,0.788913,0.790000,0.444558,0.498567
9399,0.789043,0.795000,0.443243,0.362958
9599,0.788958,0.785000,0.440157,0.199553
9799,0.788571,0.770000,0.442285,0.505376
9999,0.789000,0.810000,0.440839,0.312590
