# TEST CONFIGURATION BEGIN
# KafkaStream(topic='covtype', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.810000,0.810000,0.733296,0.733296
399,0.747500,0.685000,0.651844,0.573200
599,0.656667,0.475000,0.533564,0.311385
799,0.605000,0.450000,0.473053,0.299564
999,0.551000,0.335000,0.414205,0.196593
1199,0.535000,0.455000,0.399541,0.324722
1399,0.506429,0.335000,0.374225,0.242640
1599,0.481250,0.305000,0.367239,0.127652
1799,0.477222,0.445000,0.373679,0.297424
1999,0.480500,0.510000,0.384195,0.401910
2199,0.474091,0.410000,0.381016,0.248551
2399,0.446250,0.140000,0.353561,0.047487
2599,0.432308,0.265000,0.340415,0.140652
2799,0.415714,0.200000,0.324977,0.075679
2999,0.401667,0.205000,0.312272,0.097514
3199,0.390000,0.215000,0.301215,0.099616
3399,0.384706,0.300000,0.295530,0.153414
3599,0.376667,0.240000,0.286719,0.104038
3799,0.368684,0.225000,0.278354,0.077326
3999,0.359750,0.190000,0.268137,-0.018356
4199,0.356667,0.295000,0.266401,0.111083
4399,0.346136,0.125000,0.257618,0.015305
4599,0.336739,0.130000,0.248616,-0.017306
4799,0.328750,0.145000,0.239729,-0.046896
4999,0.321000,0.135000,0.231969,0.036507
5199,0.315385,0.175000,0.226367,0.074645
5399,0.309074,0.145000,0.220156,0.011361
5599,0.303750,0.160000,0.213542,-0.061880
5799,0.302931,0.280000,0.210369,0.145502
5999,0.296333,0.105000,0.202899,0.027702
6199,0.292258,0.170000,0.199107,0.054131
6399,0.295312,0.390000,0.201361,0.286675
6599,0.310455,0.795000,0.211948,0.562876
6799,0.322941,0.735000,0.222315,0.594150
6999,0.338857,0.880000,0.238664,0.847066
7199,0.353194,0.855000,0.254722,0.813229
7399,0.366892,0.860000,0.270638,0.820161
7599,0.380921,0.900000,0.287962,0.814883
7799,0.395000,0.930000,0.304971,0.876761
7999,0.407625,0.900000,0.319863,0.855653
8199,0.412683,0.615000,0.326198,0.483169
8399,0.412024,0.385000,0.325915,0.245630
8599,0.412558,0.435000,0.325916,0.324122
8799,0.412273,0.400000,0.325404,0.266638
8999,0.406556,0.155000,0.319346,0.056103
9199,0.404022,0.290000,0.316283,0.139967
9399,0.400319,0.230000,0.312300,0.103322
9599,0.395104,0.150000,0.307100,-0.000530
9799,0.390306,0.160000,0.302090,0.038379
9999,0.387200,0.235000,0.298232,0.138052
