# TEST CONFIGURATION BEGIN
# KafkaStream(topic='elec', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.805000,0.805000,0.614625,0.614625
399,0.742500,0.680000,0.475533,0.320378
599,0.771667,0.830000,0.521314,0.604467
799,0.763750,0.740000,0.518232,0.502678
999,0.782000,0.855000,0.551344,0.684783
1199,0.799167,0.885000,0.592724,0.765784
1399,0.793571,0.760000,0.582310,0.531844
1599,0.793125,0.790000,0.576768,0.479167
1799,0.792222,0.785000,0.574015,0.553107
1999,0.793000,0.800000,0.574701,0.582463
2199,0.782273,0.675000,0.550801,0.312169
2399,0.766667,0.595000,0.520961,0.264572
2599,0.765385,0.750000,0.518192,0.485597
2799,0.760714,0.700000,0.511946,0.390677
2999,0.760333,0.755000,0.512864,0.508624
3199,0.761875,0.785000,0.516976,0.571201
3399,0.758824,0.710000,0.512044,0.420000
3599,0.760000,0.780000,0.514936,0.559868
3799,0.758421,0.730000,0.512873,0.453441
3999,0.764750,0.885000,0.526020,0.770046
4199,0.770476,0.885000,0.537504,0.768332
4399,0.766591,0.685000,0.530132,0.380043
4599,0.766522,0.765000,0.530612,0.528018
4799,0.767500,0.790000,0.532291,0.569010
4999,0.766400,0.740000,0.530096,0.486572
5199,0.770385,0.870000,0.539179,0.712485
5399,0.772222,0.820000,0.543007,0.640144
5599,0.773929,0.820000,0.546424,0.639098
5799,0.775862,0.830000,0.549863,0.631356
5999,0.776167,0.785000,0.549779,0.493402
6199,0.771774,0.640000,0.540654,0.249766
6399,0.767500,0.635000,0.531197,0.131159
6599,0.762424,0.600000,0.520830,0.193548
6799,0.759265,0.655000,0.515168,0.286453
6999,0.757286,0.690000,0.510833,0.347849
7199,0.758056,0.785000,0.512271,0.562118
7399,0.756081,0.685000,0.508185,0.360146
7599,0.755395,0.730000,0.507228,0.471366
7799,0.756154,0.785000,0.508863,0.570000
7999,0.759000,0.870000,0.515200,0.729195
8199,0.760244,0.810000,0.517696,0.617706
8399,0.761548,0.815000,0.520690,0.622526
8599,0.762326,0.795000,0.522160,0.589343
8799,0.762727,0.780000,0.523318,0.551249
8999,0.763889,0.815000,0.525763,0.630665
9199,0.761957,0.675000,0.521939,0.365977
9399,0.762660,0.795000,0.522850,0.500122
9599,0.763437,0.800000,0.524552,0.603175
9799,0.763980,0.790000,0.525599,0.583002
9999,0.762500,0.690000,0.521852,0.031250
