# TEST CONFIGURATION BEGIN
# KafkaStream(topic='moving_squares', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_moving_squares.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.230000,0.230000,-0.026667,-0.026667
399,0.237500,0.245000,-0.016667,-0.006667
599,0.236667,0.235000,-0.017778,-0.020000
799,0.251250,0.295000,0.001667,0.060000
999,0.254000,0.265000,0.005333,0.020000
1199,0.253333,0.250000,0.004444,0.000000
1399,0.251429,0.240000,0.001905,-0.013333
1599,0.251875,0.255000,0.002500,0.006667
1799,0.252778,0.260000,0.003704,0.013333
1999,0.252500,0.250000,0.003333,0.000000
2199,0.256364,0.295000,0.008485,0.060000
2399,0.257917,0.275000,0.010556,0.033333
2599,0.259615,0.280000,0.012821,0.040000
2799,0.265714,0.345000,0.020952,0.126667
2999,0.282000,0.510000,0.042667,0.346667
3199,0.302500,0.610000,0.070000,0.480000
3399,0.308529,0.405000,0.078039,0.206667
3599,0.308889,0.315000,0.078519,0.086667
3799,0.306842,0.270000,0.075789,0.026667
3999,0.306000,0.290000,0.074667,0.053333
4199,0.307143,0.330000,0.076190,0.106667
4399,0.324318,0.685000,0.099091,0.580000
4599,0.335000,0.570000,0.113333,0.426667
4799,0.337083,0.385000,0.116111,0.180000
4999,0.334800,0.280000,0.113067,0.040000
5199,0.332500,0.275000,0.110000,0.033333
5399,0.330000,0.265000,0.106667,0.020000
5599,0.326786,0.240000,0.102381,-0.013333
5799,0.323793,0.240000,0.098391,-0.013333
5999,0.321167,0.245000,0.094889,-0.006667
6199,0.318710,0.245000,0.091613,-0.006667
6399,0.316406,0.245000,0.088542,-0.006667
6599,0.315152,0.275000,0.086869,0.033333
6799,0.313676,0.265000,0.084902,0.020000
6999,0.312143,0.260000,0.082857,0.013333
7199,0.310556,0.255000,0.080741,0.006667
7399,0.308919,0.250000,0.078559,0.000000
7599,0.307500,0.255000,0.076667,0.006667
7799,0.306154,0.255000,0.074872,0.006667
7999,0.305375,0.275000,0.073833,0.033333
8199,0.304024,0.250000,0.072033,0.000000
8399,0.303571,0.285000,0.071429,0.046667
8599,0.305116,0.370000,0.073488,0.160000
8799,0.310682,0.550000,0.080909,0.400000
8999,0.319444,0.705000,0.092593,0.606667
9199,0.321196,0.400000,0.094928,0.200000
9399,0.320638,0.295000,0.094184,0.060000
9599,0.319896,0.285000,0.093194,0.046667
9799,0.319694,0.310000,0.092925,0.080000
9999,0.321100,0.390000,0.094800,0.186667
