# TEST CONFIGURATION BEGIN
# KafkaStream(topic='sea_big', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_sea_big.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.910000,0.910000,0.818913,0.818913
399,0.892500,0.875000,0.783375,0.747730
599,0.891667,0.890000,0.781189,0.776582
799,0.890000,0.885000,0.776002,0.756717
999,0.892000,0.900000,0.781044,0.799579
1199,0.891667,0.890000,0.779183,0.766653
1399,0.895000,0.915000,0.785520,0.823980
1599,0.895625,0.900000,0.786590,0.794069
1799,0.895000,0.890000,0.784924,0.770857
1999,0.892500,0.870000,0.778956,0.719586
2199,0.894091,0.910000,0.780663,0.789646
2399,0.894167,0.895000,0.779578,0.759780
2599,0.893462,0.885000,0.777712,0.754063
2799,0.895000,0.915000,0.780839,0.821766
2999,0.894667,0.890000,0.780230,0.771761
3199,0.896250,0.920000,0.784344,0.839486
3399,0.897059,0.910000,0.786786,0.819730
3599,0.893889,0.840000,0.780211,0.668566
3799,0.893421,0.885000,0.779721,0.768751
3999,0.894000,0.905000,0.781464,0.809848
4199,0.895238,0.920000,0.784108,0.836468
4399,0.893409,0.855000,0.780462,0.704684
4599,0.892609,0.875000,0.778906,0.744950
4799,0.892083,0.880000,0.778106,0.758454
4999,0.892200,0.895000,0.778442,0.786238
5199,0.892115,0.890000,0.778423,0.777328
5399,0.892593,0.905000,0.779142,0.796835
5599,0.890714,0.840000,0.775272,0.670782
5799,0.890690,0.890000,0.774781,0.753225
5999,0.891333,0.910000,0.775955,0.810127
6199,0.890323,0.860000,0.773832,0.709784
6399,0.889375,0.860000,0.771997,0.715649
6599,0.889242,0.885000,0.771883,0.767489
6799,0.889559,0.900000,0.772588,0.795731
6999,0.889714,0.895000,0.772697,0.774630
7199,0.889722,0.890000,0.772719,0.773476
7399,0.889324,0.875000,0.771832,0.739366
7599,0.888684,0.865000,0.770398,0.715610
7799,0.888333,0.875000,0.769446,0.728791
7999,0.888125,0.880000,0.768944,0.748928
8199,0.889146,0.930000,0.771064,0.855893
8399,0.888452,0.860000,0.769593,0.709091
8599,0.888837,0.905000,0.770529,0.807887
8799,0.889091,0.900000,0.771073,0.794577
8999,0.888778,0.875000,0.770515,0.746810
9199,0.889239,0.910000,0.771386,0.810865
9399,0.889574,0.905000,0.771976,0.799027
9599,0.888542,0.840000,0.769852,0.671458
9799,0.887959,0.860000,0.768903,0.719776
9999,0.887800,0.880000,0.768754,0.759205
