# TEST CONFIGURATION BEGIN
# KafkaStream(topic='weather', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.810000,0.810000,0.430456,0.430456
399,0.762500,0.715000,0.443924,0.409938
599,0.801667,0.880000,0.482504,0.547426
799,0.776250,0.700000,0.454568,0.362448
999,0.789000,0.840000,0.473437,0.553385
1199,0.800833,0.860000,0.518271,0.698276
1399,0.799286,0.790000,0.504639,0.396898
1599,0.805000,0.845000,0.512305,0.567522
1799,0.805556,0.810000,0.515978,0.543708
1999,0.811500,0.865000,0.519592,0.533034
2199,0.804545,0.735000,0.506716,0.399093
2399,0.805833,0.820000,0.506008,0.493600
2599,0.797308,0.695000,0.494827,0.357489
2799,0.799643,0.830000,0.490433,0.346154
2999,0.797667,0.770000,0.492789,0.503883
3199,0.798750,0.815000,0.487095,0.320103
3399,0.798529,0.795000,0.482584,0.391149
3599,0.795833,0.750000,0.473467,0.319543
3799,0.794474,0.770000,0.470157,0.416836
3999,0.790750,0.720000,0.463581,0.368017
4199,0.793333,0.845000,0.468129,0.564607
4399,0.791591,0.755000,0.462557,0.344920
4599,0.791957,0.800000,0.458895,0.333333
4799,0.788958,0.720000,0.450786,0.268643
4999,0.788800,0.785000,0.446609,0.307345
5199,0.789038,0.795000,0.442600,0.282715
5399,0.790370,0.825000,0.443352,0.458037
5599,0.790536,0.795000,0.444457,0.473008
5799,0.790172,0.780000,0.442979,0.400136
5999,0.791833,0.840000,0.442706,0.398496
6199,0.790806,0.760000,0.441303,0.400824
6399,0.793438,0.875000,0.442637,0.447147
6599,0.792273,0.755000,0.440124,0.362145
6799,0.794706,0.875000,0.440834,0.405328
6999,0.794571,0.790000,0.444699,0.532138
7199,0.795139,0.815000,0.445706,0.483240
7399,0.794054,0.755000,0.444890,0.413174
7599,0.792632,0.740000,0.442936,0.377469
7799,0.793590,0.830000,0.442469,0.396307
7999,0.791500,0.710000,0.440738,0.372566
8199,0.790122,0.735000,0.437383,0.320164
8399,0.786905,0.655000,0.435014,0.318989
8599,0.786163,0.755000,0.432849,0.349788
8799,0.785568,0.760000,0.436097,0.500780
8999,0.785667,0.790000,0.436243,0.443856
9199,0.785761,0.790000,0.437679,0.495192
9399,0.785745,0.785000,0.436021,0.337442
9599,0.786042,0.800000,0.434234,0.293910
9799,0.785306,0.750000,0.435297,0.460742
9999,0.786200,0.830000,0.435146,0.396307
