# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.DecisionTreeClassifier.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.630000,0.630000,0.539930,0.539930
399,0.607500,0.585000,0.517395,0.487939
599,0.578333,0.520000,0.487214,0.411368
799,0.550000,0.465000,0.456669,0.340158
999,0.514000,0.370000,0.408786,0.175231
1199,0.499167,0.425000,0.380527,0.173583
1399,0.469286,0.290000,0.332830,0.024089
1599,0.453750,0.345000,0.306856,0.084652
1799,0.473333,0.630000,0.321643,0.407123
1999,0.479500,0.535000,0.323080,0.325598
2199,0.490455,0.600000,0.332909,0.435228
2399,0.482917,0.400000,0.316499,0.032219
2599,0.466923,0.275000,0.290385,-0.022603
2799,0.462143,0.400000,0.299229,0.254218
2999,0.468000,0.550000,0.324816,0.247743
3199,0.480625,0.670000,0.353168,0.372683
3399,0.487059,0.590000,0.367470,0.434112
3599,0.501944,0.755000,0.385458,0.479028
3799,0.511316,0.680000,0.396238,0.509616
3999,0.524750,0.780000,0.414032,0.722494
4199,0.538333,0.810000,0.435390,0.758707
4399,0.551818,0.835000,0.457151,0.789063
4599,0.567391,0.910000,0.481696,0.833163
4799,0.580000,0.870000,0.500858,0.768786
4999,0.590000,0.830000,0.515227,0.758754
5199,0.598077,0.800000,0.526413,0.729446
5399,0.606296,0.820000,0.537103,0.758616
5599,0.611429,0.750000,0.543619,0.693787
5799,0.615690,0.735000,0.548690,0.677753
5999,0.622000,0.805000,0.556002,0.743691
6199,0.619194,0.535000,0.552610,0.428957
6399,0.611094,0.360000,0.542508,0.164054
6599,0.606364,0.455000,0.536065,0.171040
6799,0.603529,0.510000,0.531748,0.285818
6999,0.598000,0.410000,0.525432,0.269802
7199,0.597361,0.575000,0.524974,0.424470
7399,0.599054,0.660000,0.526249,-0.027501
7599,0.599211,0.605000,0.525444,-0.063973
7799,0.599872,0.625000,0.525234,0.212433
7999,0.597125,0.490000,0.520813,0.044407
8199,0.595854,0.545000,0.518127,0.213211
8399,0.595595,0.585000,0.516358,0.192175
8599,0.595581,0.595000,0.514819,0.213019
8799,0.595114,0.575000,0.512724,0.188389
8999,0.594333,0.560000,0.510257,0.172893
9199,0.596739,0.705000,0.511365,0.354521
9399,0.598404,0.675000,0.511418,0.245940
9599,0.600208,0.685000,0.511598,0.280000
9799,0.602959,0.735000,0.512896,0.384651
9999,0.605500,0.730000,0.513782,0.316369
