# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.DecisionTreeClassifier.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.705000,0.705000,0.408818,0.408818
399,0.720000,0.735000,0.439215,0.470529
599,0.738333,0.775000,0.475454,0.550539
799,0.742500,0.755000,0.483152,0.506148
999,0.737000,0.715000,0.472078,0.430000
1199,0.737500,0.740000,0.473842,0.479792
1399,0.719286,0.610000,0.437145,0.236492
1599,0.714375,0.680000,0.426657,0.356396
1799,0.710000,0.675000,0.419105,0.355159
1999,0.711500,0.725000,0.422248,0.454365
2199,0.720909,0.815000,0.439239,0.570965
2399,0.715833,0.660000,0.429136,0.318159
2599,0.721154,0.785000,0.440371,0.570773
2799,0.721786,0.730000,0.442796,0.432594
2999,0.722333,0.730000,0.444636,0.410673
3199,0.720313,0.690000,0.440678,0.345093
3399,0.723824,0.780000,0.447320,0.447236
3599,0.720556,0.665000,0.440587,0.328119
3799,0.721053,0.730000,0.441828,0.452333
3999,0.721250,0.725000,0.441885,0.416260
4199,0.719048,0.675000,0.437251,0.335650
4399,0.716818,0.670000,0.432648,0.333333
4599,0.714783,0.670000,0.428926,0.356976
4799,0.717292,0.775000,0.434024,0.549910
4999,0.719200,0.765000,0.438120,0.511536
5199,0.721538,0.780000,0.442780,0.559692
5399,0.720370,0.690000,0.440542,0.375189
5599,0.720714,0.730000,0.441244,0.470329
5799,0.723103,0.790000,0.446080,0.579369
5999,0.724167,0.755000,0.448244,0.511076
6199,0.720000,0.595000,0.439945,0.204478
6399,0.720781,0.745000,0.441319,0.433962
6599,0.722576,0.780000,0.444944,0.560000
6799,0.725441,0.820000,0.450591,0.640898
6999,0.723571,0.660000,0.446386,0.095745
7199,0.721111,0.635000,0.441282,0.299693
7399,0.723378,0.805000,0.445426,0.569726
7599,0.721974,0.670000,0.442032,0.223895
7799,0.719359,0.620000,0.436133,0.143083
7999,0.718875,0.700000,0.434738,0.355601
8199,0.719756,0.755000,0.435979,0.459757
8399,0.720119,0.735000,0.436468,0.450207
8599,0.717791,0.620000,0.431771,0.236948
8799,0.716818,0.675000,0.428793,0.116848
8999,0.715556,0.660000,0.425418,0.192015
9199,0.712500,0.575000,0.418325,-0.062234
9399,0.713511,0.760000,0.419617,0.449541
9599,0.713125,0.695000,0.418998,0.402897
9799,0.714898,0.800000,0.422938,0.599840
9999,0.716500,0.795000,0.425987,0.577145
