# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.DecisionTreeClassifier.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.530000,0.530000,0.060000,0.060000
399,0.532500,0.535000,0.064860,0.069069
599,0.528333,0.520000,0.056352,0.039328
799,0.537500,0.565000,0.075000,0.131043
999,0.542000,0.560000,0.083912,0.120352
1199,0.548333,0.580000,0.096275,0.155270
1399,0.552143,0.575000,0.104055,0.153049
1599,0.555000,0.575000,0.109937,0.150510
1799,0.552222,0.530000,0.104409,0.060094
1999,0.554000,0.570000,0.108051,0.141288
2199,0.551364,0.525000,0.102807,0.045993
2399,0.550000,0.535000,0.100105,0.065514
2599,0.551538,0.570000,0.103185,0.140000
2799,0.553929,0.585000,0.107874,0.168337
2999,0.553667,0.550000,0.107333,0.100270
3199,0.551250,0.515000,0.102500,0.030000
3399,0.552647,0.575000,0.105324,0.151188
3599,0.550556,0.515000,0.101140,0.030000
3799,0.546842,0.480000,0.093746,-0.040937
3999,0.544750,0.505000,0.089583,0.010594
4199,0.542381,0.495000,0.084845,-0.010202
4399,0.540000,0.490000,0.080165,-0.012708
4599,0.542391,0.595000,0.084951,0.189838
4799,0.542917,0.555000,0.085968,0.102823
4999,0.542400,0.530000,0.085086,0.068938
5199,0.543077,0.560000,0.086556,0.120000
5399,0.542593,0.530000,0.085607,0.059530
5599,0.543571,0.570000,0.087465,0.142145
5799,0.542241,0.505000,0.084858,0.012961
5999,0.543000,0.565000,0.086256,0.130000
6199,0.542581,0.530000,0.085385,0.060000
6399,0.540469,0.475000,0.081069,-0.052315
6599,0.542424,0.605000,0.084957,0.208575
6799,0.542206,0.535000,0.084534,0.061554
6999,0.543000,0.570000,0.086091,0.134809
7199,0.542778,0.535000,0.085658,0.069442
7399,0.543649,0.575000,0.087426,0.149490
7599,0.544868,0.590000,0.089853,0.179426
7799,0.545385,0.565000,0.090875,0.122984
7999,0.543125,0.455000,0.086380,-0.088476
8199,0.542073,0.500000,0.084279,-0.010101
8399,0.542381,0.555000,0.084896,0.105168
8599,0.541860,0.520000,0.083823,0.040863
8799,0.541023,0.505000,0.082162,0.005625
8999,0.541444,0.560000,0.083013,0.120000
9199,0.541630,0.550000,0.083414,0.102960
9399,0.540213,0.475000,0.080570,-0.050000
9599,0.538958,0.480000,0.078046,-0.040520
9799,0.537755,0.480000,0.075678,-0.034208
9999,0.538600,0.580000,0.077375,0.160000
