# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.DecisionTreeClassifier.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.985000,0.985000,0.946695,0.946695
399,0.987500,0.990000,0.960174,0.970867
599,0.983333,0.975000,0.964925,0.950978
799,0.987500,1.000000,0.975734,1.000000
999,0.990000,1.000000,0.979481,1.000000
1199,0.990833,0.995000,0.980121,0.976809
1399,0.990000,0.985000,0.977268,0.938807
1599,0.987500,0.970000,0.972244,0.941725
1799,0.987778,0.990000,0.972720,0.976415
1999,0.985500,0.965000,0.967917,0.927129
2199,0.923636,0.305000,0.837464,0.019884
2399,0.885417,0.465000,0.759663,0.111148
2599,0.893846,0.995000,0.773848,0.986123
2799,0.900714,0.990000,0.785545,0.972591
2999,0.877667,0.555000,0.740741,0.246114
3199,0.843750,0.335000,0.674023,0.026889
3399,0.852647,0.995000,0.687025,0.982539
3599,0.860000,0.985000,0.698870,0.956660
3799,0.830789,0.305000,0.642596,0.031258
3999,0.830250,0.820000,0.636791,0.409739
4199,0.837619,0.985000,0.646626,0.938975
4399,0.842955,0.955000,0.658322,0.903820
4599,0.849348,0.990000,0.670722,0.975376
4799,0.853750,0.955000,0.682400,0.913240
4999,0.828400,0.220000,0.636471,-0.082882
5199,0.826538,0.780000,0.631996,0.513490
5399,0.832407,0.985000,0.643123,0.965177
5599,0.810536,0.220000,0.604551,-0.086994
5799,0.811034,0.825000,0.602859,0.511412
5999,0.814167,0.905000,0.608760,0.791163
6199,0.796129,0.255000,0.575036,-0.020233
6399,0.802344,0.995000,0.582218,0.970220
6599,0.807424,0.970000,0.594356,0.943268
6799,0.812353,0.975000,0.604378,0.946763
6999,0.798286,0.320000,0.580151,0.002091
7199,0.803611,0.990000,0.589783,0.976594
7399,0.790811,0.330000,0.567936,0.017919
7599,0.796184,0.995000,0.576330,0.986035
7799,0.785385,0.375000,0.556878,0.047619
7999,0.786500,0.830000,0.559015,0.656947
8199,0.782439,0.620000,0.554850,0.352751
8399,0.777738,0.585000,0.546586,0.240135
8599,0.772442,0.550000,0.537931,0.232082
8799,0.765000,0.445000,0.524399,0.005733
8999,0.758111,0.455000,0.515813,0.158334
9199,0.748804,0.330000,0.501648,-0.078210
9399,0.742553,0.455000,0.490865,0.053080
9599,0.730938,0.185000,0.474951,-0.223310
9799,0.719490,0.170000,0.459998,-0.291779
9999,0.721900,0.840000,0.473217,0.603568
