# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.DecisionTreeClassifier.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.530000,0.530000,0.057455,0.057455
399,0.512500,0.495000,0.025146,-0.014260
599,0.501667,0.480000,0.003533,-0.035341
799,0.533750,0.630000,0.067815,0.260665
999,0.530000,0.515000,0.060090,0.030582
1199,0.536667,0.570000,0.072870,0.120295
1399,0.540000,0.560000,0.079173,0.116466
1599,0.531250,0.470000,0.061792,-0.059682
1799,0.530556,0.525000,0.060167,0.048668
1999,0.529500,0.520000,0.058150,0.040000
2199,0.533182,0.570000,0.065618,0.140430
2399,0.534583,0.550000,0.068503,0.101438
2599,0.535769,0.550000,0.070912,0.100000
2799,0.531786,0.480000,0.063098,-0.037510
2999,0.534333,0.570000,0.068445,0.140602
3199,0.537500,0.585000,0.074776,0.170829
3399,0.533529,0.470000,0.066967,-0.062657
3599,0.537500,0.605000,0.074982,0.211577
3799,0.537895,0.545000,0.075714,0.086712
3999,0.538000,0.540000,0.075811,0.084395
4199,0.535952,0.495000,0.071539,-0.021234
4399,0.537727,0.575000,0.075087,0.151697
4599,0.540652,0.605000,0.080994,0.220907
4799,0.539792,0.520000,0.079568,0.046863
4999,0.540000,0.545000,0.080000,0.090909
5199,0.541538,0.580000,0.082996,0.155354
5399,0.540926,0.525000,0.081600,0.043688
5599,0.541786,0.565000,0.083328,0.130000
5799,0.542241,0.555000,0.084248,0.110000
5999,0.542833,0.560000,0.085428,0.119736
6199,0.543710,0.570000,0.086968,0.131664
6399,0.542500,0.505000,0.084476,0.010791
6599,0.541212,0.500000,0.081803,0.004777
6799,0.541765,0.560000,0.082910,0.122457
6999,0.542571,0.570000,0.084553,0.141374
7199,0.542778,0.550000,0.084998,0.100270
7399,0.544189,0.595000,0.087883,0.189514
7599,0.545789,0.605000,0.091035,0.206827
7799,0.545513,0.535000,0.090493,0.070186
7999,0.545625,0.550000,0.090781,0.101348
8199,0.545610,0.545000,0.090795,0.090546
8399,0.544048,0.480000,0.087524,-0.057448
8599,0.544651,0.570000,0.088722,0.140000
8799,0.544318,0.530000,0.088065,0.060845
8999,0.545111,0.580000,0.089568,0.151858
9199,0.545217,0.550000,0.089722,0.095568
9399,0.546489,0.605000,0.092115,0.199108
9599,0.545937,0.520000,0.091038,0.040000
9799,0.545000,0.500000,0.089060,-0.009693
9999,0.544400,0.515000,0.087821,0.026104
