# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.DecisionTreeClassifier.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.755000,0.755000,0.500917,0.500917
399,0.770000,0.785000,0.533279,0.566095
599,0.743333,0.690000,0.480362,0.375000
799,0.755000,0.790000,0.500608,0.561358
999,0.755000,0.755000,0.499326,0.493697
1199,0.758333,0.775000,0.507361,0.547557
1399,0.760000,0.770000,0.512195,0.538893
1599,0.769375,0.835000,0.530363,0.659794
1799,0.770556,0.780000,0.532831,0.553436
1999,0.767500,0.740000,0.527231,0.478121
2199,0.765455,0.745000,0.521467,0.454545
2399,0.765833,0.770000,0.521011,0.511885
2599,0.766923,0.780000,0.523359,0.553163
2799,0.765357,0.745000,0.520093,0.477566
2999,0.765000,0.760000,0.518710,0.498065
3199,0.763125,0.735000,0.515383,0.465510
3399,0.764118,0.780000,0.517423,0.550056
3599,0.761944,0.725000,0.512705,0.431231
3799,0.762368,0.770000,0.513545,0.529123
3999,0.760500,0.725000,0.509707,0.439804
4199,0.761905,0.790000,0.513142,0.578356
4399,0.762727,0.780000,0.514809,0.549918
4599,0.762174,0.750000,0.512688,0.451092
4799,0.760208,0.715000,0.508316,0.405010
4999,0.758000,0.705000,0.503600,0.394002
5199,0.753846,0.650000,0.494966,0.285423
5399,0.751111,0.680000,0.488490,0.302224
5599,0.748929,0.690000,0.482980,0.306798
5799,0.748793,0.745000,0.482178,0.457447
5999,0.748000,0.725000,0.479872,0.403471
6199,0.744516,0.640000,0.472285,0.241786
6399,0.744687,0.750000,0.472070,0.460335
6599,0.744242,0.730000,0.470637,0.419167
6799,0.743529,0.720000,0.468529,0.388913
6999,0.742000,0.690000,0.465356,0.359504
7199,0.740556,0.690000,0.462049,0.345093
7399,0.739865,0.715000,0.460532,0.412734
7599,0.737632,0.655000,0.455927,0.293467
7799,0.736795,0.705000,0.453925,0.375000
7999,0.734500,0.645000,0.449056,0.258873
8199,0.733537,0.695000,0.447106,0.370485
8399,0.732500,0.690000,0.445075,0.368314
8599,0.731628,0.695000,0.443024,0.354770
8799,0.730909,0.700000,0.441957,0.396864
8999,0.729444,0.665000,0.438265,0.252733
9199,0.729348,0.725000,0.438128,0.436822
9399,0.728830,0.705000,0.437117,0.395863
9599,0.728125,0.695000,0.435308,0.343945
9799,0.726224,0.635000,0.431763,0.270000
9999,0.725500,0.690000,0.430030,0.343290
