# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.DecisionTreeClassifier.stagger_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,1.000000,1.000000,1.000000,1.000000
399,1.000000,1.000000,1.000000,1.000000
599,1.000000,1.000000,1.000000,1.000000
799,1.000000,1.000000,1.000000,1.000000
999,1.000000,1.000000,1.000000,1.000000
1199,1.000000,1.000000,1.000000,1.000000
1399,1.000000,1.000000,1.000000,1.000000
1599,1.000000,1.000000,1.000000,1.000000
1799,1.000000,1.000000,1.000000,1.000000
1999,1.000000,1.000000,1.000000,1.000000
2199,1.000000,1.000000,1.000000,1.000000
2399,1.000000,1.000000,1.000000,1.000000
2599,1.000000,1.000000,1.000000,1.000000
2799,1.000000,1.000000,1.000000,1.000000
2999,1.000000,1.000000,1.000000,1.000000
3199,1.000000,1.000000,1.000000,1.000000
3399,1.000000,1.000000,1.000000,1.000000
3599,0.999444,0.990000,0.998880,0.979968
3799,0.998421,0.980000,0.996815,0.958519
3999,0.996500,0.960000,0.992942,0.919638
4199,0.991905,0.900000,0.983670,0.797591
4399,0.983409,0.805000,0.966508,0.599178
4599,0.974348,0.775000,0.948188,0.539406
4799,0.961458,0.665000,0.922161,0.326768
4999,0.946000,0.575000,0.890869,0.128384
5199,0.933462,0.620000,0.865492,0.235412
5399,0.921111,0.600000,0.840418,0.181334
5599,0.903929,0.440000,0.805551,-0.156069
5799,0.892069,0.560000,0.781365,0.077084
5999,0.881167,0.565000,0.759200,0.120501
6199,0.868871,0.500000,0.734210,-0.013788
6399,0.857656,0.510000,0.711224,-0.035065
6599,0.845606,0.460000,0.686742,-0.093117
6799,0.836029,0.520000,0.666954,-0.029160
6999,0.826143,0.490000,0.646645,-0.061063
7199,0.815556,0.445000,0.625154,-0.119403
7399,0.806892,0.495000,0.607571,-0.022267
7599,0.798421,0.485000,0.590304,-0.044625
7799,0.791282,0.520000,0.575447,-0.017704
7999,0.784250,0.510000,0.560929,-0.021685
8199,0.777073,0.490000,0.546453,-0.027708
8399,0.770238,0.490000,0.532797,-0.013614
8599,0.764419,0.520000,0.520953,0.025875
8799,0.757159,0.445000,0.506371,-0.110000
8999,0.752000,0.525000,0.495580,-0.002956
9199,0.747391,0.540000,0.485863,0.021797
9399,0.741809,0.485000,0.474522,-0.039984
9599,0.736667,0.495000,0.463948,-0.038667
9799,0.731735,0.495000,0.453635,-0.062487
9999,0.726900,0.490000,0.443814,-0.032389
