# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.GradientBoostingClassifier.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.800000,0.800000,0.718775,0.718775
399,0.742500,0.685000,0.644082,0.572737
599,0.688333,0.580000,0.576824,0.439402
799,0.635000,0.475000,0.514155,0.324911
999,0.594000,0.430000,0.470492,0.295361
1199,0.568333,0.440000,0.443092,0.309729
1399,0.536429,0.345000,0.413641,0.264727
1599,0.523125,0.430000,0.419316,0.278686
1799,0.523333,0.525000,0.428947,0.372295
1999,0.517500,0.465000,0.427197,0.347780
2199,0.516818,0.510000,0.429232,0.383822
2399,0.502083,0.340000,0.415626,0.226238
2599,0.495000,0.410000,0.409245,0.302765
2799,0.482500,0.320000,0.397629,0.214236
2999,0.464000,0.205000,0.379096,0.080074
3199,0.457188,0.355000,0.373036,0.240395
3399,0.450588,0.345000,0.365940,0.207262
3599,0.448056,0.405000,0.362756,0.270028
3799,0.453684,0.555000,0.369326,0.446861
3999,0.463000,0.640000,0.379175,0.506579
4199,0.476667,0.750000,0.394872,0.606206
4399,0.480227,0.555000,0.398816,0.262512
4599,0.481522,0.510000,0.399377,0.234793
4799,0.467917,0.155000,0.382831,-0.109543
4999,0.457200,0.200000,0.369233,-0.107190
5199,0.452308,0.330000,0.362071,0.064834
5399,0.450370,0.400000,0.357725,0.034244
5599,0.451071,0.470000,0.356213,0.189602
5799,0.446207,0.310000,0.351090,0.211969
5999,0.436167,0.145000,0.341051,0.042070
6199,0.431129,0.280000,0.336567,0.058670
6399,0.429375,0.375000,0.335088,0.258292
6599,0.441364,0.825000,0.347769,0.613623
6799,0.450294,0.745000,0.356553,0.609689
6999,0.461571,0.845000,0.368863,0.802277
7199,0.472500,0.855000,0.382071,0.813529
7399,0.482432,0.840000,0.394769,0.793048
7599,0.492500,0.865000,0.408174,0.746824
7799,0.503077,0.905000,0.421742,0.829198
7999,0.511250,0.830000,0.431972,0.753498
8199,0.513659,0.610000,0.435343,0.477072
8399,0.511310,0.415000,0.433005,0.279446
8599,0.509651,0.440000,0.430935,0.325768
8799,0.508295,0.450000,0.429234,0.321929
8999,0.502778,0.260000,0.423038,0.159497
9199,0.500000,0.375000,0.419670,0.235310
9399,0.502979,0.640000,0.422679,0.531189
9599,0.500938,0.405000,0.420121,0.152844
9799,0.496939,0.305000,0.414998,0.013310
9999,0.492900,0.295000,0.410363,0.207487
