# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.GradientBoostingClassifier.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.830000,0.830000,0.665881,0.665881
399,0.750000,0.670000,0.490835,0.296375
599,0.771667,0.815000,0.521091,0.568261
799,0.762500,0.735000,0.515507,0.496198
999,0.781000,0.855000,0.548524,0.681319
1199,0.804167,0.920000,0.602714,0.836317
1399,0.802143,0.790000,0.599355,0.588518
1599,0.808750,0.855000,0.606289,0.583573
1799,0.815000,0.865000,0.618786,0.720207
1999,0.816000,0.825000,0.619819,0.631811
2199,0.806364,0.710000,0.598312,0.381399
2399,0.789583,0.605000,0.566237,0.286102
2599,0.788462,0.775000,0.563501,0.531738
2799,0.788571,0.790000,0.567355,0.570728
2999,0.794667,0.880000,0.581285,0.759928
3199,0.798750,0.860000,0.590619,0.720893
3399,0.799412,0.810000,0.593400,0.616162
3599,0.801111,0.830000,0.597532,0.660306
3799,0.803421,0.845000,0.603178,0.688380
3999,0.806250,0.860000,0.609352,0.720000
4199,0.810000,0.885000,0.616906,0.768844
4399,0.807273,0.750000,0.611801,0.508261
4599,0.808043,0.825000,0.614076,0.637306
4799,0.807083,0.785000,0.611935,0.562296
4999,0.807600,0.820000,0.613114,0.643034
5199,0.809038,0.845000,0.616825,0.660683
5399,0.808333,0.790000,0.615557,0.579622
5599,0.809107,0.830000,0.617118,0.660408
5799,0.807069,0.750000,0.612689,0.462770
5999,0.806833,0.800000,0.611614,0.521130
6199,0.801774,0.650000,0.601083,0.252376
6399,0.795937,0.615000,0.588478,0.020107
6599,0.789848,0.595000,0.576034,0.185930
6799,0.787206,0.700000,0.571215,0.396621
6999,0.785571,0.730000,0.567445,0.406528
7199,0.785000,0.765000,0.566168,0.519624
7399,0.784595,0.770000,0.565120,0.521830
7599,0.782368,0.700000,0.561060,0.418154
7799,0.783333,0.820000,0.563179,0.640180
7999,0.785875,0.885000,0.568970,0.753431
8199,0.789390,0.930000,0.576066,0.859705
8399,0.791429,0.875000,0.580547,0.743221
8599,0.792442,0.835000,0.582529,0.671968
8799,0.795000,0.905000,0.588011,0.805328
8999,0.796667,0.870000,0.591472,0.740623
9199,0.794783,0.710000,0.587724,0.435413
9399,0.794894,0.800000,0.587577,0.542334
9599,0.796458,0.870000,0.590856,0.741653
9799,0.796633,0.805000,0.591179,0.611244
9999,0.794500,0.690000,0.586198,0.006410
