# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.GradientBoostingClassifier.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.695000,0.695000,0.391703,0.391703
399,0.690000,0.685000,0.379628,0.365431
599,0.705000,0.735000,0.410092,0.470318
799,0.700000,0.685000,0.400041,0.370000
999,0.710000,0.750000,0.420000,0.499950
1199,0.697500,0.635000,0.394718,0.263816
1399,0.698571,0.705000,0.396888,0.410118
1599,0.698750,0.700000,0.396987,0.395344
1799,0.691667,0.635000,0.382762,0.271166
1999,0.690500,0.680000,0.380647,0.362232
2199,0.686364,0.645000,0.372559,0.292829
2399,0.686667,0.690000,0.373211,0.380310
2599,0.687308,0.695000,0.374449,0.389389
2799,0.687143,0.685000,0.373813,0.361573
2999,0.686000,0.670000,0.371765,0.338611
3199,0.687813,0.715000,0.375688,0.431478
3399,0.686471,0.665000,0.372886,0.330402
3599,0.688611,0.725000,0.377316,0.448013
3799,0.686053,0.640000,0.372335,0.284508
3999,0.685750,0.680000,0.371666,0.357945
4199,0.684048,0.650000,0.368151,0.299510
4399,0.682955,0.660000,0.365948,0.319796
4599,0.680870,0.635000,0.361819,0.268537
4799,0.682917,0.730000,0.365800,0.456740
4999,0.683000,0.685000,0.365796,0.364919
5199,0.681923,0.655000,0.363618,0.309171
5399,0.682222,0.690000,0.364241,0.380062
5599,0.680536,0.635000,0.360835,0.268537
5799,0.681379,0.705000,0.362562,0.409646
5999,0.680333,0.650000,0.360479,0.300210
6199,0.679677,0.660000,0.359066,0.313755
6399,0.679844,0.685000,0.359500,0.372260
6599,0.680152,0.690000,0.360192,0.383698
6799,0.679412,0.655000,0.358708,0.310414
6999,0.680429,0.715000,0.360718,0.428285
7199,0.680278,0.675000,0.360513,0.359858
7399,0.680946,0.705000,0.361905,0.407631
7599,0.680921,0.680000,0.361822,0.357107
7799,0.679487,0.625000,0.358916,0.246837
7999,0.679750,0.690000,0.359446,0.380805
8199,0.678171,0.615000,0.356302,0.230462
8399,0.677381,0.645000,0.354723,0.290000
8599,0.677442,0.680000,0.354884,0.365331
8799,0.676932,0.655000,0.353929,0.325777
8999,0.676222,0.645000,0.352423,0.285714
9199,0.676630,0.695000,0.353247,0.390000
9399,0.677553,0.720000,0.355021,0.428571
9599,0.676771,0.640000,0.353493,0.281796
9799,0.676939,0.685000,0.353836,0.370504
9999,0.676700,0.665000,0.353447,0.333466
