# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.GradientBoostingClassifier.led_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.715000,0.715000,0.681866,0.681866
399,0.712500,0.710000,0.679853,0.676357
599,0.706667,0.695000,0.673664,0.660574
799,0.712500,0.730000,0.680287,0.699265
999,0.715000,0.725000,0.683136,0.694088
1199,0.705833,0.660000,0.672979,0.620472
1399,0.705714,0.705000,0.672854,0.671364
1599,0.701250,0.670000,0.667868,0.632363
1799,0.702222,0.710000,0.668968,0.677876
1999,0.698000,0.660000,0.664316,0.622243
2199,0.698636,0.705000,0.665034,0.671437
2399,0.694583,0.650000,0.660556,0.609353
2599,0.692692,0.670000,0.658476,0.632537
2799,0.687857,0.625000,0.653083,0.582266
2999,0.689667,0.715000,0.655091,0.682017
3199,0.690312,0.700000,0.655827,0.666398
3399,0.690882,0.700000,0.656483,0.665188
3599,0.691667,0.705000,0.657373,0.671199
3799,0.690789,0.675000,0.656404,0.638668
3999,0.691750,0.710000,0.657479,0.675379
4199,0.691429,0.685000,0.657125,0.649377
4399,0.693182,0.730000,0.659079,0.698980
4599,0.693043,0.690000,0.658928,0.654731
4799,0.691042,0.645000,0.656700,0.603573
4999,0.692000,0.715000,0.657760,0.682584
5199,0.693462,0.730000,0.659385,0.698787
5399,0.692407,0.665000,0.658209,0.626387
5599,0.691786,0.675000,0.657507,0.635425
5799,0.693276,0.735000,0.659159,0.703935
5999,0.691833,0.650000,0.657557,0.610245
6199,0.691613,0.685000,0.657323,0.649552
6399,0.692344,0.715000,0.658135,0.682796
6599,0.693182,0.720000,0.659058,0.688239
6799,0.693529,0.705000,0.659453,0.670161
6999,0.694286,0.720000,0.660301,0.688066
7199,0.694583,0.705000,0.660633,0.671839
7399,0.694054,0.675000,0.660053,0.637398
7599,0.692632,0.640000,0.658472,0.600344
7799,0.691538,0.650000,0.657252,0.609919
7999,0.692000,0.710000,0.657764,0.675797
8199,0.691585,0.675000,0.657306,0.637530
8399,0.691786,0.700000,0.657525,0.665487
8599,0.693488,0.765000,0.659419,0.738271
8799,0.694318,0.730000,0.660337,0.698837
8999,0.694111,0.685000,0.660102,0.649220
9199,0.695109,0.740000,0.661207,0.709886
9399,0.694574,0.670000,0.660615,0.632506
9599,0.695937,0.760000,0.662127,0.732337
9799,0.695000,0.650000,0.661084,0.609506
9999,0.695900,0.740000,0.662080,0.710314
