# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.GradientBoostingClassifier.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.995000,0.995000,0.978251,0.978251
399,0.997500,1.000000,0.988857,1.000000
599,0.991667,0.980000,0.975385,0.960365
799,0.992500,0.995000,0.979153,0.988060
999,0.994000,1.000000,0.983966,1.000000
1199,0.993333,0.990000,0.982553,0.976185
1399,0.969286,0.825000,0.925423,0.672331
1599,0.848125,0.000000,0.669896,-0.168224
1799,0.843333,0.805000,0.654602,0.514200
1999,0.859000,1.000000,0.678031,1.000000
2199,0.871818,1.000000,0.701360,1.000000
2399,0.882083,0.995000,0.723251,0.987359
2599,0.844615,0.395000,0.649954,0.092545
2799,0.799286,0.210000,0.565066,-0.051406
2999,0.812000,0.990000,0.581477,0.958480
3199,0.823438,0.995000,0.597893,0.981161
3399,0.833824,1.000000,0.616739,1.000000
3599,0.814722,0.490000,0.583511,0.173252
3799,0.783684,0.225000,0.524805,0.013713
3999,0.794000,0.990000,0.534983,0.923225
4199,0.803810,1.000000,0.547598,1.000000
4399,0.812727,1.000000,0.560488,1.000000
4599,0.819565,0.970000,0.581086,0.942263
4799,0.827083,1.000000,0.598110,1.000000
4999,0.833400,0.985000,0.615552,0.969506
5199,0.812500,0.290000,0.578572,0.018286
5399,0.800000,0.475000,0.555549,0.116756
5599,0.807143,1.000000,0.568029,1.000000
5799,0.813793,1.000000,0.580174,1.000000
5999,0.804167,0.525000,0.564508,0.208432
6199,0.789032,0.335000,0.537157,0.026889
6399,0.795312,0.990000,0.545959,0.963716
6599,0.801515,1.000000,0.556658,1.000000
6799,0.786471,0.290000,0.529931,0.025696
6999,0.787429,0.820000,0.528440,0.409739
7199,0.793333,1.000000,0.536376,1.000000
7399,0.798108,0.970000,0.547204,0.934896
7599,0.803421,1.000000,0.557950,1.000000
7799,0.807564,0.965000,0.569677,0.933495
7999,0.792375,0.200000,0.544437,-0.090364
8199,0.792439,0.795000,0.544456,0.546435
8399,0.797262,0.995000,0.553983,0.988219
8599,0.783256,0.195000,0.530710,-0.089679
8799,0.784318,0.830000,0.530864,0.520688
8999,0.786889,0.900000,0.536001,0.774775
9199,0.775543,0.265000,0.515532,-0.009650
9399,0.780319,1.000000,0.520924,1.000000
9599,0.784479,0.980000,0.531386,0.961792
9799,0.787653,0.940000,0.538097,0.868817
9999,0.778400,0.325000,0.523284,0.004572
