# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.GradientBoostingClassifier.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.885000,0.885000,0.764393,0.764393
399,0.897500,0.910000,0.791497,0.818090
599,0.911667,0.940000,0.820885,0.879020
799,0.911250,0.910000,0.820960,0.819928
999,0.915000,0.930000,0.827588,0.852895
1199,0.915833,0.920000,0.829689,0.839679
1399,0.916429,0.920000,0.830944,0.838449
1599,0.920000,0.945000,0.837866,0.886598
1799,0.922222,0.940000,0.842265,0.877613
1999,0.921000,0.910000,0.839881,0.818548
2199,0.920455,0.915000,0.839046,0.829830
2399,0.920833,0.925000,0.839693,0.846814
2599,0.920385,0.915000,0.839059,0.830204
2799,0.921071,0.930000,0.840380,0.857608
2999,0.919667,0.900000,0.837478,0.796645
3199,0.919063,0.910000,0.836358,0.819350
3399,0.919118,0.920000,0.836315,0.834796
3599,0.918889,0.915000,0.835922,0.829249
3799,0.917105,0.885000,0.832181,0.762740
3999,0.917250,0.920000,0.832669,0.840256
4199,0.915952,0.890000,0.830160,0.780198
4399,0.914773,0.890000,0.827845,0.779404
4599,0.913261,0.880000,0.824834,0.758842
4799,0.912917,0.905000,0.824144,0.808274
4999,0.912800,0.910000,0.823763,0.812520
5199,0.912308,0.900000,0.822796,0.798894
5399,0.911667,0.895000,0.821428,0.784880
5599,0.912857,0.945000,0.823859,0.889202
5799,0.913448,0.930000,0.825182,0.860056
5999,0.914000,0.930000,0.826164,0.853541
6199,0.912742,0.875000,0.823521,0.741201
6399,0.912031,0.890000,0.821883,0.762701
6599,0.913030,0.945000,0.824006,0.889956
6799,0.913235,0.920000,0.824329,0.834163
6999,0.913571,0.925000,0.824937,0.845265
7199,0.912778,0.885000,0.823292,0.765066
7399,0.912568,0.905000,0.822821,0.805447
7599,0.912500,0.910000,0.822689,0.817814
7799,0.911795,0.885000,0.821313,0.769076
7999,0.911625,0.905000,0.820916,0.804728
8199,0.911707,0.915000,0.821062,0.826884
8399,0.911310,0.895000,0.820255,0.787191
8599,0.910930,0.895000,0.819407,0.781705
8799,0.911023,0.915000,0.819558,0.825927
8999,0.910889,0.905000,0.819222,0.803313
9199,0.910761,0.905000,0.818947,0.806478
9399,0.911383,0.940000,0.820208,0.878259
9599,0.910833,0.885000,0.819004,0.758910
9799,0.910612,0.900000,0.818475,0.790970
9999,0.910400,0.900000,0.817917,0.785523
