# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.GradientBoostingClassifier.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.840000,0.840000,0.616996,0.616996
399,0.845000,0.850000,0.626416,0.636143
599,0.846667,0.850000,0.622580,0.613402
799,0.837500,0.810000,0.598620,0.525652
999,0.845000,0.875000,0.616394,0.688512
1199,0.838333,0.805000,0.601643,0.531588
1399,0.844286,0.880000,0.613796,0.689602
1599,0.845000,0.850000,0.616087,0.632533
1799,0.851667,0.905000,0.632085,0.761666
1999,0.853500,0.870000,0.635241,0.664300
2199,0.850455,0.820000,0.630543,0.584631
2399,0.852500,0.875000,0.637114,0.705258
2599,0.854231,0.875000,0.640159,0.678001
2799,0.854286,0.855000,0.639649,0.632632
2999,0.854000,0.850000,0.638941,0.629126
3199,0.855938,0.885000,0.641657,0.683805
3399,0.856176,0.860000,0.640825,0.624816
3599,0.855000,0.835000,0.637634,0.582807
3799,0.856316,0.880000,0.642211,0.718144
3999,0.855000,0.830000,0.640298,0.606846
4199,0.853333,0.820000,0.636332,0.558011
4399,0.851818,0.820000,0.631776,0.530210
4599,0.852174,0.860000,0.632994,0.659160
4799,0.851250,0.830000,0.632913,0.625386
4999,0.851400,0.855000,0.632050,0.606833
5199,0.849423,0.800000,0.627926,0.529412
5399,0.850000,0.865000,0.628541,0.644362
5599,0.851964,0.905000,0.633189,0.761006
5799,0.851552,0.840000,0.632139,0.602781
5999,0.852500,0.880000,0.633724,0.684169
6199,0.851452,0.820000,0.633037,0.606514
6399,0.853125,0.905000,0.635875,0.731335
6599,0.853788,0.875000,0.638096,0.704841
6799,0.854559,0.880000,0.639778,0.696548
6999,0.854857,0.865000,0.640082,0.650259
7199,0.854583,0.845000,0.638818,0.594771
7399,0.854189,0.840000,0.636652,0.540494
7599,0.854079,0.850000,0.636729,0.639293
7799,0.854103,0.855000,0.637028,0.647887
7999,0.853625,0.835000,0.636341,0.609929
8199,0.854146,0.875000,0.636319,0.627200
8399,0.855357,0.905000,0.639064,0.755281
8599,0.855930,0.880000,0.640396,0.696970
8799,0.856023,0.860000,0.641133,0.670123
8999,0.855222,0.820000,0.638457,0.506241
9199,0.855000,0.845000,0.637345,0.581307
9399,0.854787,0.845000,0.636112,0.570042
9599,0.854375,0.835000,0.635898,0.624060
9799,0.854694,0.870000,0.636454,0.663735
9999,0.854400,0.840000,0.635332,0.576103
