# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.agrawal_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.630000,0.630000,0.073494,0.073494
399,0.597500,0.565000,0.018353,-0.035221
599,0.601667,0.610000,0.011307,-0.005673
799,0.607500,0.625000,0.027299,0.075216
999,0.605000,0.595000,0.026518,0.022919
1199,0.601667,0.585000,0.014484,-0.047186
1399,0.602857,0.610000,0.015160,0.019115
1599,0.604375,0.615000,0.010273,-0.023664
1799,0.598889,0.555000,0.001076,-0.068941
1999,0.600000,0.610000,0.003657,0.026946
2199,0.599545,0.595000,0.000804,-0.024020
2399,0.600417,0.610000,-0.001959,-0.031200
2599,0.603846,0.645000,0.004614,0.085052
2799,0.604643,0.615000,0.003575,-0.002865
2999,0.601000,0.550000,-0.004459,-0.114551
3199,0.600625,0.595000,-0.005010,-0.013260
3399,0.600294,0.595000,-0.008545,-0.064949
3599,0.600000,0.595000,-0.009676,-0.026096
3799,0.598158,0.565000,-0.014955,-0.111111
3999,0.600000,0.635000,-0.007595,0.124070
4199,0.597857,0.555000,-0.009699,-0.053254
4399,0.596364,0.565000,-0.013022,-0.082090
4599,0.595435,0.575000,-0.011385,0.053241
4799,0.592292,0.520000,-0.011705,-0.010101
4999,0.588200,0.490000,-0.012067,-0.025847
5199,0.584808,0.500000,-0.011868,-0.030928
5399,0.581481,0.495000,-0.013953,-0.060034
5599,0.580179,0.545000,-0.009921,0.065708
5799,0.576724,0.480000,-0.012672,-0.072718
5999,0.574000,0.495000,-0.011887,0.014057
6199,0.570323,0.460000,-0.013331,-0.084882
6399,0.569375,0.540000,-0.012482,0.011178
6599,0.566212,0.465000,-0.014291,-0.063830
6799,0.564706,0.515000,-0.013145,0.008991
6999,0.562429,0.485000,-0.013966,-0.046961
7199,0.560972,0.510000,-0.014350,-0.031036
7399,0.558108,0.455000,-0.015484,-0.068209
7599,0.557105,0.520000,-0.015652,-0.011804
7799,0.555513,0.495000,-0.015541,-0.015688
7999,0.555375,0.550000,-0.012184,0.080225
8199,0.553415,0.475000,-0.014082,-0.076261
8399,0.552857,0.530000,-0.014010,-0.007611
8599,0.552674,0.545000,-0.012263,0.052873
8799,0.553182,0.575000,-0.009472,0.106392
8999,0.551778,0.490000,-0.011222,-0.070192
9199,0.550109,0.475000,-0.012607,-0.068594
9399,0.548617,0.480000,-0.014389,-0.090604
9599,0.547604,0.500000,-0.014972,-0.037344
9799,0.546633,0.500000,-0.014470,-0.005126
9999,0.546200,0.525000,-0.013791,0.012679
