# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.820000,0.820000,0.643423,0.643423
399,0.775000,0.730000,0.542590,0.432773
599,0.798333,0.845000,0.579179,0.644740
799,0.788750,0.760000,0.568586,0.536277
999,0.789000,0.790000,0.566774,0.556728
1199,0.792500,0.810000,0.580787,0.605195
1399,0.782143,0.720000,0.559676,0.436109
1599,0.784375,0.800000,0.557920,0.456522
1799,0.780000,0.745000,0.546920,0.458943
1999,0.777000,0.750000,0.539391,0.473296
2199,0.770909,0.710000,0.525748,0.390756
2399,0.751667,0.540000,0.488020,0.196927
2599,0.751538,0.750000,0.487607,0.483471
2799,0.741429,0.610000,0.469270,0.267468
2999,0.744333,0.785000,0.476743,0.572054
3199,0.744375,0.745000,0.478093,0.493847
3399,0.743529,0.730000,0.477890,0.470588
3599,0.744167,0.755000,0.479963,0.509608
3799,0.743684,0.735000,0.480370,0.482118
3999,0.747500,0.820000,0.488644,0.640000
4199,0.750000,0.800000,0.493751,0.597261
4399,0.751591,0.785000,0.497361,0.572819
4599,0.751304,0.745000,0.497870,0.493545
4799,0.751875,0.765000,0.498474,0.510417
4999,0.750600,0.720000,0.496307,0.446367
5199,0.752692,0.805000,0.502237,0.593072
5399,0.750926,0.705000,0.498943,0.412468
5599,0.751786,0.775000,0.500613,0.547010
5799,0.751379,0.740000,0.499120,0.443791
5999,0.749833,0.705000,0.495043,0.330458
6199,0.744677,0.590000,0.484211,0.138565
6399,0.740625,0.615000,0.474704,0.060747
6599,0.734848,0.550000,0.462929,0.095568
6799,0.732941,0.670000,0.459870,0.350905
6999,0.731714,0.690000,0.456725,0.321143
7199,0.727500,0.580000,0.447976,0.134288
7399,0.725000,0.635000,0.442650,0.243523
7599,0.725789,0.755000,0.444715,0.520078
7799,0.725513,0.715000,0.444322,0.431592
7999,0.726125,0.750000,0.446547,0.498948
8199,0.726829,0.755000,0.447901,0.502336
8399,0.727857,0.770000,0.450614,0.535400
8599,0.728605,0.760000,0.451906,0.513431
8799,0.729318,0.760000,0.453945,0.523573
8999,0.730778,0.795000,0.457032,0.589754
9199,0.729348,0.665000,0.454070,0.335186
9399,0.730106,0.765000,0.454810,0.437126
9599,0.731563,0.800000,0.458041,0.606918
9799,0.732245,0.765000,0.459438,0.531966
9999,0.732000,0.720000,0.457786,0.166667
