# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.575000,0.575000,0.150000,0.150000
399,0.602500,0.630000,0.204642,0.259704
599,0.573333,0.515000,0.146581,0.030582
799,0.585000,0.620000,0.170000,0.241593
999,0.582000,0.570000,0.163920,0.139656
1199,0.582500,0.585000,0.164875,0.170995
1399,0.577143,0.545000,0.154177,0.090546
1599,0.578125,0.585000,0.156187,0.174458
1799,0.577778,0.575000,0.155497,0.151019
1999,0.579500,0.595000,0.159101,0.194831
2199,0.576818,0.550000,0.153913,0.102155
2399,0.577083,0.580000,0.154290,0.162262
2599,0.576923,0.575000,0.153978,0.150000
2799,0.577857,0.590000,0.155736,0.177120
2999,0.579000,0.595000,0.158000,0.189514
3199,0.578750,0.575000,0.157500,0.150000
3399,0.575294,0.520000,0.150621,0.040384
3599,0.575833,0.585000,0.151693,0.170000
3799,0.571579,0.495000,0.143216,-0.010606
3999,0.569750,0.535000,0.139599,0.073151
4199,0.571667,0.610000,0.143453,0.220857
4399,0.569091,0.515000,0.138411,0.038652
4599,0.569783,0.585000,0.139802,0.169834
4799,0.572083,0.625000,0.144309,0.251497
4999,0.568800,0.490000,0.137914,-0.005521
5199,0.568462,0.560000,0.137419,0.132492
5399,0.567778,0.550000,0.136134,0.104923
5599,0.569286,0.610000,0.139029,0.221168
5799,0.569483,0.575000,0.139461,0.149490
5999,0.569000,0.555000,0.138322,0.115835
6199,0.567419,0.520000,0.135131,0.039231
6399,0.569219,0.625000,0.138601,0.251646
6599,0.569394,0.575000,0.138912,0.150510
6799,0.569265,0.565000,0.138692,0.128431
6999,0.569286,0.570000,0.138677,0.141031
7199,0.569444,0.575000,0.139017,0.151527
7399,0.568784,0.545000,0.137724,0.087262
7599,0.568684,0.565000,0.137520,0.129826
7799,0.566923,0.500000,0.134000,-0.006543
7999,0.568250,0.620000,0.136663,0.235182
8199,0.567683,0.545000,0.135548,0.083585
8399,0.566786,0.530000,0.133782,0.060845
8599,0.566860,0.570000,0.133906,0.140430
8799,0.566023,0.530000,0.132209,0.060000
8999,0.566222,0.575000,0.132624,0.150000
9199,0.565109,0.515000,0.130418,0.025713
9399,0.564362,0.530000,0.128940,0.060000
9599,0.564167,0.555000,0.128535,0.109644
9799,0.564184,0.565000,0.128566,0.128955
9999,0.564100,0.560000,0.128393,0.116821
