# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.led_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.250000,0.250000,0.166481,0.166481
399,0.247500,0.245000,0.165506,0.163690
599,0.215000,0.150000,0.129030,0.053610
799,0.207500,0.185000,0.121327,0.098426
999,0.211000,0.225000,0.125011,0.139463
1199,0.218333,0.255000,0.132920,0.174218
1399,0.220000,0.230000,0.134745,0.144991
1599,0.217500,0.200000,0.131871,0.111358
1799,0.223889,0.275000,0.138563,0.189763
1999,0.226000,0.245000,0.141247,0.163944
2199,0.229545,0.265000,0.144869,0.180876
2399,0.235000,0.295000,0.150924,0.215490
2599,0.240000,0.300000,0.156783,0.225471
2799,0.239286,0.230000,0.156029,0.145465
2999,0.236667,0.200000,0.152979,0.106968
3199,0.235937,0.225000,0.152090,0.139606
3399,0.239706,0.300000,0.156211,0.222870
3599,0.240000,0.245000,0.156481,0.160995
3799,0.241316,0.265000,0.157948,0.182925
3999,0.242750,0.270000,0.159398,0.188077
4199,0.241190,0.210000,0.157620,0.120634
4399,0.239318,0.200000,0.155439,0.109379
4599,0.238913,0.230000,0.155047,0.143112
4799,0.240000,0.265000,0.156293,0.185483
4999,0.239800,0.235000,0.156135,0.150802
5199,0.239808,0.240000,0.156332,0.161009
5399,0.239815,0.240000,0.156277,0.153628
5599,0.242500,0.315000,0.159290,0.239734
5799,0.242586,0.245000,0.159385,0.161670
5999,0.244667,0.305000,0.161640,0.228014
6199,0.245968,0.285000,0.163005,0.205092
6399,0.245000,0.215000,0.161882,0.126759
6599,0.245606,0.265000,0.162494,0.180739
6799,0.245735,0.250000,0.162667,0.167822
6999,0.244714,0.210000,0.161663,0.126758
7199,0.245694,0.280000,0.162791,0.200888
7399,0.245135,0.225000,0.162192,0.140822
7599,0.245526,0.260000,0.162472,0.169449
7799,0.246410,0.280000,0.163358,0.197816
7999,0.246250,0.240000,0.163135,0.153604
8199,0.247195,0.285000,0.164211,0.204229
8399,0.246190,0.205000,0.163163,0.120916
8599,0.246744,0.270000,0.163694,0.184904
8799,0.246818,0.250000,0.163688,0.159664
8999,0.247222,0.265000,0.164088,0.183605
9199,0.246522,0.215000,0.163336,0.129664
9399,0.246383,0.240000,0.163105,0.153345
9599,0.246250,0.240000,0.162910,0.154475
9799,0.246429,0.255000,0.163145,0.173714
9999,0.245700,0.210000,0.162294,0.118648
