# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.960000,0.960000,0.823204,0.823204
399,0.957500,0.955000,0.797184,0.766234
599,0.925000,0.860000,0.765430,0.707541
799,0.930000,0.945000,0.792826,0.858748
999,0.929000,0.925000,0.797667,0.811948
1199,0.925833,0.910000,0.791484,0.762752
1399,0.904286,0.775000,0.756886,0.571184
1599,0.796250,0.040000,0.543627,-0.159420
1799,0.796667,0.800000,0.539504,0.503537
1999,0.813500,0.965000,0.562417,0.868173
2199,0.825909,0.950000,0.583863,0.853587
2399,0.834583,0.930000,0.602223,0.821985
2599,0.799231,0.375000,0.539646,0.029804
2799,0.758929,0.235000,0.469242,-0.036620
2999,0.771000,0.940000,0.481384,0.717581
3199,0.782813,0.960000,0.496233,0.834437
3399,0.792059,0.940000,0.510985,0.816373
3599,0.776111,0.505000,0.487945,0.191441
3799,0.748684,0.255000,0.439634,0.032059
3999,0.759750,0.970000,0.449477,0.769674
4199,0.769286,0.960000,0.459465,0.787686
4399,0.777727,0.955000,0.470142,0.821074
4599,0.782609,0.890000,0.486822,0.780876
4799,0.788333,0.920000,0.498786,0.799599
4999,0.791000,0.855000,0.508520,0.699855
5199,0.770769,0.265000,0.476249,-0.057098
5399,0.759074,0.455000,0.456434,0.080479
5599,0.765893,0.950000,0.467417,0.853684
5799,0.771552,0.930000,0.476674,0.802622
5999,0.763000,0.515000,0.465434,0.180051
6199,0.749355,0.340000,0.442547,0.048991
6399,0.755938,0.960000,0.451017,0.847561
6599,0.762273,0.965000,0.461310,0.895616
6799,0.748235,0.285000,0.438274,0.022623
6999,0.749857,0.805000,0.437554,0.345418
7199,0.755694,0.960000,0.444213,0.817518
7399,0.759054,0.880000,0.451813,0.735726
7599,0.763816,0.940000,0.460630,0.842520
7799,0.766026,0.850000,0.468538,0.709020
7999,0.752250,0.215000,0.448470,-0.069920
8199,0.752561,0.765000,0.449129,0.476760
8399,0.756429,0.915000,0.456274,0.791998
8599,0.743256,0.190000,0.436459,-0.091975
8799,0.744432,0.795000,0.436325,0.397944
8999,0.746778,0.850000,0.440875,0.653979
9199,0.736304,0.265000,0.423267,-0.013094
9399,0.741277,0.970000,0.428076,0.807384
9599,0.743646,0.855000,0.434945,0.718624
9799,0.745816,0.850000,0.440124,0.688877
9999,0.736700,0.290000,0.426891,-0.045540
