# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.555000,0.555000,0.108395,0.108395
399,0.570000,0.585000,0.140966,0.174458
599,0.561667,0.545000,0.122339,0.088359
799,0.566250,0.580000,0.130838,0.155694
999,0.565000,0.560000,0.129059,0.122894
1199,0.544167,0.440000,0.089775,-0.098901
1399,0.547857,0.570000,0.097740,0.138277
1599,0.550000,0.565000,0.101969,0.131563
1799,0.555000,0.595000,0.112594,0.193388
1999,0.560000,0.605000,0.122769,0.214087
2199,0.563636,0.600000,0.129919,0.201198
2399,0.562083,0.545000,0.127211,0.099367
2599,0.562692,0.570000,0.128448,0.143085
2799,0.562857,0.565000,0.128999,0.136733
2999,0.561333,0.540000,0.126024,0.081561
3199,0.565312,0.625000,0.133207,0.252243
3399,0.564118,0.545000,0.130550,0.084507
3599,0.565000,0.580000,0.132457,0.165425
3799,0.565526,0.575000,0.133734,0.153049
3999,0.565000,0.555000,0.132095,0.114780
4199,0.564286,0.550000,0.130922,0.108823
4399,0.563409,0.545000,0.128803,0.090909
4599,0.565435,0.610000,0.133257,0.229249
4799,0.562708,0.500000,0.127895,0.004777
4999,0.564400,0.605000,0.131352,0.212363
5199,0.564423,0.565000,0.131506,0.133811
5399,0.564815,0.575000,0.132204,0.149490
5599,0.565536,0.585000,0.133586,0.170829
5799,0.565172,0.555000,0.132920,0.114428
5999,0.564667,0.550000,0.131650,0.097020
6199,0.564839,0.570000,0.131915,0.138967
6399,0.564063,0.540000,0.130347,0.078987
6599,0.564242,0.570000,0.130427,0.142743
6799,0.565882,0.620000,0.133702,0.233562
6999,0.565714,0.560000,0.133422,0.124204
7199,0.564583,0.525000,0.130936,0.052275
7399,0.565811,0.610000,0.133329,0.218359
7599,0.566447,0.590000,0.134516,0.174718
7799,0.566410,0.565000,0.134241,0.131043
7999,0.566375,0.565000,0.134268,0.134156
8199,0.564878,0.505000,0.131198,0.009406
8399,0.564881,0.565000,0.131208,0.128082
8599,0.563953,0.525000,0.129392,0.051139
8799,0.565682,0.640000,0.132977,0.289591
8999,0.566556,0.605000,0.134752,0.210947
9199,0.566304,0.555000,0.134196,0.107501
9399,0.566277,0.565000,0.134174,0.133466
9599,0.566146,0.560000,0.133963,0.122107
9799,0.564592,0.490000,0.130918,-0.013514
9999,0.565700,0.620000,0.133151,0.242424
