# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.855000,0.855000,0.654350,0.654350
399,0.852500,0.850000,0.643698,0.632668
599,0.856667,0.865000,0.648291,0.657360
799,0.850000,0.830000,0.631237,0.579676
999,0.854000,0.870000,0.639711,0.674349
1199,0.848333,0.820000,0.627436,0.569223
1399,0.851429,0.870000,0.633005,0.667349
1599,0.851250,0.850000,0.632855,0.632533
1799,0.853889,0.875000,0.638729,0.686402
1999,0.857500,0.890000,0.646210,0.715946
2199,0.854545,0.825000,0.641104,0.591789
2399,0.855417,0.865000,0.645236,0.686557
2599,0.855000,0.850000,0.643332,0.619916
2799,0.854286,0.845000,0.641083,0.611139
2999,0.852000,0.820000,0.636036,0.567464
3199,0.854688,0.895000,0.640478,0.711301
3399,0.855000,0.860000,0.640134,0.633268
3599,0.853333,0.825000,0.635617,0.557522
3799,0.855000,0.885000,0.640828,0.728838
3999,0.853500,0.825000,0.638772,0.601276
4199,0.850952,0.800000,0.632871,0.517200
4399,0.850227,0.835000,0.630422,0.576162
4599,0.849783,0.840000,0.629539,0.610469
4799,0.848958,0.830000,0.629720,0.627193
4999,0.849600,0.865000,0.630109,0.637973
5199,0.847115,0.785000,0.624720,0.495897
5399,0.847593,0.860000,0.625192,0.637353
5599,0.850000,0.915000,0.630814,0.786164
5799,0.848966,0.820000,0.628503,0.564797
5999,0.850000,0.880000,0.630447,0.692110
6199,0.849194,0.825000,0.630192,0.616480
6399,0.851094,0.910000,0.633655,0.750554
6599,0.851515,0.865000,0.635279,0.683767
6799,0.851912,0.865000,0.636198,0.667242
6999,0.852143,0.860000,0.636683,0.653465
7199,0.851806,0.840000,0.634969,0.567568
7399,0.850946,0.820000,0.631687,0.489796
7599,0.850658,0.840000,0.631328,0.618275
7799,0.850256,0.835000,0.630497,0.599320
7999,0.850125,0.845000,0.630768,0.639535
8199,0.850732,0.875000,0.630979,0.633108
8399,0.852024,0.905000,0.633997,0.760585
8599,0.852558,0.875000,0.635188,0.685930
8799,0.852841,0.865000,0.636360,0.683247
8999,0.851889,0.810000,0.633415,0.490821
9199,0.851522,0.835000,0.631886,0.554295
9399,0.851489,0.850000,0.631157,0.591559
9599,0.850833,0.820000,0.630445,0.595869
9799,0.851224,0.870000,0.631252,0.670886
9999,0.851000,0.840000,0.630388,0.585546
