# TEST CONFIGURATION BEGIN
# FileStream(filename='weather.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.KNeighborsClassifier.weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.810000,0.810000,0.455899,0.455899
399,0.745000,0.680000,0.404206,0.330544
599,0.780000,0.850000,0.437891,0.492643
799,0.752500,0.670000,0.404381,0.299660
999,0.773000,0.855000,0.439152,0.592697
1199,0.779167,0.810000,0.465187,0.577402
1399,0.777857,0.770000,0.452490,0.355110
1599,0.787500,0.855000,0.469191,0.595424
1799,0.789444,0.805000,0.475589,0.525201
1999,0.797000,0.865000,0.484523,0.567169
2199,0.790000,0.720000,0.473858,0.379914
2399,0.792500,0.820000,0.475195,0.485714
2599,0.781538,0.650000,0.458133,0.260902
2799,0.785000,0.830000,0.456620,0.376947
2999,0.783000,0.755000,0.457093,0.452881
3199,0.785312,0.820000,0.457192,0.441774
3399,0.783235,0.750000,0.449041,0.300504
3599,0.780556,0.735000,0.439709,0.282037
3799,0.779737,0.765000,0.439419,0.434008
3999,0.778500,0.755000,0.442572,0.475599
4199,0.780952,0.830000,0.447123,0.542703
4399,0.778864,0.735000,0.441401,0.320861
4599,0.780217,0.810000,0.441006,0.415385
4799,0.775833,0.675000,0.430980,0.211165
4999,0.776600,0.795000,0.429570,0.375951
5199,0.777500,0.800000,0.428961,0.401645
5399,0.779444,0.830000,0.432533,0.530387
5599,0.779643,0.785000,0.433651,0.462634
5799,0.780690,0.810000,0.436647,0.519535
5999,0.781333,0.800000,0.434570,0.337748
6199,0.780323,0.750000,0.433237,0.394086
6399,0.783281,0.875000,0.435598,0.490628
6599,0.782121,0.745000,0.434204,0.390390
6799,0.784118,0.850000,0.433928,0.340514
6999,0.783286,0.755000,0.434871,0.448447
7199,0.783750,0.800000,0.435955,0.475134
7399,0.784595,0.815000,0.441287,0.589254
7599,0.784079,0.765000,0.442036,0.460018
7799,0.784872,0.815000,0.441826,0.419152
7999,0.782750,0.700000,0.440797,0.371859
8199,0.781707,0.740000,0.438802,0.368242
8399,0.778929,0.665000,0.436920,0.337552
8599,0.778837,0.775000,0.436283,0.417702
8799,0.778295,0.755000,0.438708,0.489796
8999,0.779111,0.815000,0.440596,0.525884
9199,0.779348,0.790000,0.441995,0.501898
9399,0.779043,0.765000,0.439688,0.307602
9599,0.779271,0.790000,0.437952,0.305556
9799,0.777857,0.710000,0.437217,0.385593
9999,0.778900,0.830000,0.437631,0.437831
