# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.agrawal_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.665000,0.665000,0.000000,0.000000
399,0.652500,0.640000,0.000000,0.000000
599,0.658333,0.670000,0.000000,0.000000
799,0.656250,0.650000,0.000000,0.000000
999,0.655000,0.650000,0.000000,0.000000
1199,0.657500,0.670000,0.000000,0.000000
1399,0.657857,0.660000,0.000000,0.000000
1599,0.664375,0.710000,0.000000,0.000000
1799,0.661111,0.635000,0.000000,0.000000
1999,0.661000,0.660000,0.000000,0.000000
2199,0.663636,0.690000,0.000000,0.000000
2399,0.667500,0.710000,0.000000,0.000000
2599,0.668077,0.675000,0.000000,0.000000
2799,0.671429,0.715000,0.000000,0.000000
2999,0.671667,0.675000,0.000000,0.000000
3199,0.671562,0.670000,0.000000,0.000000
3399,0.673824,0.710000,0.000000,0.000000
3599,0.675000,0.695000,0.000000,0.000000
3799,0.675000,0.675000,0.000000,0.000000
3999,0.674750,0.670000,0.000000,0.000000
4199,0.673810,0.655000,0.000000,0.000000
4399,0.673864,0.675000,0.000000,0.000000
4599,0.669348,0.570000,0.000000,0.000000
4799,0.663958,0.540000,0.000000,0.000000
4999,0.657600,0.505000,0.000000,0.000000
5199,0.652692,0.530000,0.000000,0.000000
5399,0.648519,0.540000,0.000000,0.000000
5599,0.644107,0.525000,0.000000,0.000000
5799,0.640000,0.525000,0.000000,0.000000
5999,0.634667,0.480000,0.000000,0.000000
6199,0.630484,0.505000,0.000000,0.000000
6399,0.628281,0.560000,0.000000,0.000000
6599,0.624242,0.495000,0.000000,0.000000
6799,0.621176,0.520000,0.000000,0.000000
6999,0.618143,0.515000,0.000000,0.000000
7199,0.616111,0.545000,0.000000,0.000000
7399,0.612432,0.480000,0.000000,0.000000
7599,0.610526,0.540000,0.000000,0.000000
7799,0.607821,0.505000,0.000000,0.000000
7999,0.605750,0.525000,0.000000,0.000000
8199,0.603659,0.520000,0.000000,0.000000
8399,0.602500,0.555000,0.000000,0.000000
8599,0.600930,0.535000,0.000000,0.000000
8799,0.599545,0.540000,0.000000,0.000000
8999,0.598111,0.535000,0.000000,0.000000
9199,0.596304,0.515000,0.000000,0.000000
9399,0.595106,0.540000,0.000000,0.000000
9599,0.593750,0.530000,0.000000,0.000000
9799,0.591939,0.505000,0.000000,0.000000
9999,0.590800,0.535000,0.000000,0.000000
