# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.225000,0.225000,0.105675,0.105675
399,0.247500,0.270000,0.118143,0.122623
599,0.215000,0.150000,0.074702,-0.011995
799,0.220000,0.235000,0.092769,0.126288
999,0.221000,0.225000,0.098968,0.130874
1199,0.255000,0.425000,0.134774,0.224309
1399,0.319286,0.705000,0.190293,0.360503
1599,0.358750,0.635000,0.219517,0.326692
1799,0.360000,0.370000,0.214461,0.173038
1999,0.346500,0.225000,0.199784,0.105184
2199,0.339091,0.265000,0.189216,0.073899
2399,0.328750,0.215000,0.178414,0.079746
2599,0.336923,0.435000,0.180650,0.125928
2799,0.316786,0.055000,0.175552,0.032803
2999,0.301000,0.080000,0.175068,0.029254
3199,0.290938,0.140000,0.177031,0.007788
3399,0.279118,0.090000,0.171789,0.010278
3599,0.268889,0.095000,0.168186,0.062807
3799,0.264474,0.185000,0.165075,0.085426
3999,0.270750,0.390000,0.169691,0.218875
4199,0.283333,0.535000,0.182653,0.401275
4399,0.297955,0.605000,0.199153,0.472771
4599,0.320000,0.805000,0.222488,0.594974
4799,0.337083,0.730000,0.240576,0.426660
4999,0.347000,0.585000,0.251056,0.340642
5199,0.350769,0.445000,0.255487,0.237218
5399,0.350185,0.335000,0.255677,0.191588
5599,0.350536,0.360000,0.255999,0.201173
5799,0.350345,0.345000,0.255234,0.201560
5999,0.349833,0.335000,0.253936,0.188282
6199,0.346774,0.255000,0.249623,0.090354
6399,0.346719,0.345000,0.249876,0.235036
6599,0.353333,0.565000,0.255865,0.248250
6799,0.350441,0.255000,0.252176,0.082823
6999,0.344143,0.130000,0.247227,0.094811
7199,0.337361,0.100000,0.242534,0.046989
7399,0.328243,0.000000,0.236170,0.000000
7599,0.319605,0.000000,0.230141,-0.000901
7799,0.311410,0.000000,0.223671,-0.001502
7999,0.303625,0.000000,0.217945,-0.000851
8199,0.296220,0.000000,0.212475,0.000000
8399,0.289167,0.000000,0.207326,-0.000425
8599,0.282442,0.000000,0.202257,0.000000
8799,0.276023,0.000000,0.197282,-0.004142
8999,0.269889,0.000000,0.192360,-0.008395
9199,0.264022,0.000000,0.187752,-0.007557
9399,0.258404,0.000000,0.183527,-0.003386
9599,0.253021,0.000000,0.179590,-0.001452
9799,0.247857,0.000000,0.175748,0.000000
9999,0.242900,0.000000,0.172195,0.000000
