# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.920000,0.920000,0.840128,0.840128
399,0.920000,0.920000,0.839325,0.837728
599,0.900000,0.860000,0.799042,0.720587
799,0.892500,0.870000,0.784088,0.742345
999,0.885000,0.855000,0.769208,0.710000
1199,0.878333,0.845000,0.756634,0.688066
1399,0.863571,0.775000,0.726812,0.558217
1599,0.856250,0.805000,0.711519,0.589905
1799,0.851111,0.810000,0.701845,0.617552
1999,0.849000,0.830000,0.697778,0.664860
2199,0.856364,0.930000,0.711704,0.835835
2399,0.853333,0.820000,0.705774,0.640324
2599,0.855385,0.880000,0.710066,0.760575
2799,0.847857,0.750000,0.695494,0.462770
2999,0.849667,0.875000,0.699334,0.709167
3199,0.848750,0.835000,0.697436,0.649011
3399,0.842353,0.740000,0.684042,0.265122
3599,0.831389,0.645000,0.661784,0.284851
3799,0.826842,0.745000,0.653081,0.482023
3999,0.822750,0.745000,0.644437,0.444686
4199,0.823810,0.845000,0.646335,0.680807
4399,0.821591,0.775000,0.641555,0.527807
4599,0.817391,0.725000,0.633377,0.465708
4799,0.818542,0.845000,0.635717,0.690681
4999,0.821800,0.900000,0.642824,0.784134
5199,0.825962,0.930000,0.651131,0.860098
5399,0.828519,0.895000,0.656512,0.783326
5599,0.828929,0.840000,0.657188,0.674631
5799,0.832069,0.920000,0.663689,0.837810
5999,0.833333,0.870000,0.666210,0.739374
6199,0.831613,0.780000,0.662697,0.563968
6399,0.829531,0.765000,0.658119,0.416149
6599,0.826970,0.745000,0.653000,0.506961
6799,0.823235,0.700000,0.645425,0.403519
6999,0.819714,0.700000,0.637572,0.000000
7199,0.812778,0.570000,0.623588,0.190512
7399,0.814865,0.890000,0.627006,0.711324
7599,0.809737,0.620000,0.615976,0.031107
7799,0.803462,0.565000,0.602740,0.000000
7999,0.799000,0.625000,0.593195,0.153117
8199,0.799268,0.810000,0.592869,0.516601
8399,0.798333,0.760000,0.590581,0.478544
8599,0.795233,0.665000,0.584131,0.320625
8799,0.795114,0.790000,0.582411,0.260563
8999,0.794333,0.760000,0.579376,0.193548
9199,0.792717,0.720000,0.574767,0.146211
9399,0.793298,0.820000,0.574817,0.526316
9599,0.790104,0.640000,0.568471,0.315068
9799,0.791429,0.855000,0.571546,0.711443
9999,0.793100,0.875000,0.574623,0.729437
