# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.640000,0.640000,0.280000,0.280000
399,0.657500,0.675000,0.315377,0.351168
599,0.650000,0.635000,0.300676,0.271312
799,0.652500,0.660000,0.305000,0.317749
999,0.649000,0.635000,0.298253,0.270729
1199,0.657500,0.700000,0.315491,0.399520
1399,0.656429,0.650000,0.313412,0.300210
1599,0.660000,0.685000,0.320143,0.369622
1799,0.663889,0.695000,0.327869,0.389389
1999,0.662500,0.650000,0.324887,0.299650
2199,0.660909,0.645000,0.321520,0.288720
2399,0.656250,0.605000,0.312354,0.208099
2599,0.660385,0.710000,0.320675,0.420000
2799,0.659286,0.645000,0.318557,0.290709
2999,0.661667,0.695000,0.323333,0.390000
3199,0.663438,0.690000,0.326875,0.380000
3399,0.659412,0.595000,0.318809,0.190809
3599,0.660833,0.685000,0.321650,0.370000
3799,0.656579,0.580000,0.313127,0.161760
3999,0.655250,0.630000,0.310471,0.261182
4199,0.653095,0.610000,0.306154,0.219610
4399,0.652727,0.645000,0.305402,0.291276
4599,0.650652,0.605000,0.301247,0.209842
4799,0.651667,0.675000,0.303308,0.347390
4999,0.651800,0.655000,0.303549,0.309171
5199,0.649808,0.600000,0.299536,0.198075
5399,0.649074,0.630000,0.298083,0.261845
5599,0.647500,0.605000,0.294965,0.207623
5799,0.646897,0.630000,0.293707,0.253731
5999,0.648833,0.705000,0.297641,0.400772
6199,0.648871,0.650000,0.297707,0.300839
6399,0.647656,0.610000,0.295291,0.220857
6599,0.647879,0.655000,0.295743,0.309586
6799,0.648382,0.665000,0.296734,0.326362
6999,0.647571,0.620000,0.295126,0.238172
7199,0.648056,0.665000,0.296092,0.330000
7399,0.645541,0.555000,0.291045,0.105168
7599,0.646184,0.670000,0.292339,0.340330
7799,0.645000,0.600000,0.289968,0.200400
7999,0.645875,0.680000,0.291726,0.364007
8199,0.644512,0.590000,0.288995,0.180000
8399,0.643333,0.595000,0.286624,0.187073
8599,0.642558,0.610000,0.285066,0.220390
8799,0.641818,0.610000,0.283581,0.221868
8999,0.641000,0.605000,0.281959,0.210000
9199,0.640000,0.595000,0.279948,0.188214
9399,0.639255,0.605000,0.278467,0.210000
9599,0.637396,0.550000,0.274739,0.099550
9799,0.635000,0.520000,0.269954,0.041534
9999,0.634700,0.620000,0.269356,0.240911
