# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.led_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.400000,0.400000,0.329103,0.329103
399,0.362500,0.325000,0.289916,0.248852
599,0.355000,0.340000,0.281719,0.263311
799,0.338750,0.290000,0.265338,0.211746
999,0.343000,0.360000,0.270406,0.290072
1199,0.345833,0.360000,0.273218,0.287860
1399,0.345714,0.345000,0.273106,0.272647
1599,0.338750,0.290000,0.265720,0.213863
1799,0.341667,0.365000,0.268775,0.293286
1999,0.349500,0.420000,0.277506,0.358336
2199,0.353182,0.390000,0.281507,0.320467
2399,0.358333,0.415000,0.286783,0.343490
2599,0.363462,0.425000,0.292604,0.362298
2799,0.362143,0.345000,0.291283,0.273816
2999,0.362000,0.360000,0.291338,0.291094
3199,0.361563,0.355000,0.290985,0.285378
3399,0.364706,0.415000,0.294584,0.350162
3599,0.364444,0.360000,0.294248,0.289086
3799,0.365526,0.385000,0.295413,0.315888
3999,0.363250,0.320000,0.292890,0.244717
4199,0.364762,0.395000,0.294610,0.327796
4399,0.364318,0.355000,0.294172,0.283552
4599,0.365435,0.390000,0.295350,0.319785
4799,0.367708,0.420000,0.297877,0.353994
4999,0.366800,0.345000,0.296914,0.273816
5199,0.366923,0.370000,0.297105,0.300583
5399,0.367037,0.370000,0.297155,0.296423
5599,0.367500,0.380000,0.297728,0.312143
5799,0.368793,0.405000,0.299133,0.338944
5999,0.369167,0.380000,0.299457,0.309057
6199,0.369839,0.390000,0.300204,0.322599
6399,0.368437,0.325000,0.298670,0.248936
6599,0.369091,0.390000,0.299394,0.319690
6799,0.369118,0.370000,0.299461,0.300602
6999,0.370143,0.405000,0.300666,0.340720
7199,0.369722,0.355000,0.300181,0.283055
7399,0.368514,0.325000,0.298914,0.252264
7599,0.370789,0.455000,0.301367,0.388534
7799,0.372308,0.430000,0.302954,0.363164
7999,0.373125,0.405000,0.303858,0.337472
8199,0.372927,0.365000,0.303661,0.293149
8399,0.371667,0.320000,0.302274,0.244654
8599,0.371279,0.355000,0.301827,0.282596
8799,0.371591,0.385000,0.302149,0.312023
8999,0.372556,0.415000,0.303185,0.349331
9199,0.373152,0.400000,0.303857,0.331439
9399,0.373298,0.380000,0.303977,0.310422
9599,0.374688,0.440000,0.305481,0.374773
9799,0.374694,0.375000,0.305479,0.304783
9999,0.373800,0.330000,0.304421,0.251229
