# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.560000,0.560000,0.128627,0.128627
399,0.557500,0.555000,0.111535,0.099737
599,0.530000,0.475000,0.065606,-0.015278
799,0.530000,0.530000,0.066042,0.066998
999,0.513000,0.445000,0.029285,-0.118726
1199,0.517500,0.540000,0.030611,0.046434
1399,0.526429,0.580000,0.045022,0.126819
1599,0.530625,0.560000,0.053083,0.109582
1799,0.526111,0.490000,0.040032,-0.077313
1999,0.527000,0.535000,0.041782,0.057560
2199,0.525000,0.505000,0.036855,-0.014344
2399,0.529583,0.580000,0.045239,0.139344
2599,0.530385,0.540000,0.046449,0.060841
2799,0.531071,0.540000,0.047354,0.058535
2999,0.531000,0.530000,0.048053,0.057077
3199,0.525312,0.440000,0.038257,-0.098578
3399,0.525294,0.525000,0.040004,0.063116
3599,0.523889,0.500000,0.036867,-0.016777
3799,0.523947,0.525000,0.035458,0.005860
3999,0.524500,0.535000,0.038176,0.088056
4199,0.522619,0.485000,0.033254,-0.065150
4399,0.524773,0.570000,0.038773,0.157276
4599,0.525870,0.550000,0.038671,0.038462
4799,0.523958,0.480000,0.034895,-0.051780
4999,0.521200,0.455000,0.028568,-0.124871
5199,0.520385,0.500000,0.026181,-0.030609
5399,0.521111,0.540000,0.027566,0.064280
5599,0.519821,0.485000,0.025012,-0.043566
5799,0.519655,0.515000,0.024608,0.013225
5999,0.519167,0.505000,0.023829,0.001009
6199,0.518065,0.485000,0.021466,-0.049521
6399,0.516563,0.470000,0.019084,-0.057357
6599,0.516212,0.505000,0.019204,0.022126
6799,0.516324,0.520000,0.018487,-0.007980
6999,0.515286,0.480000,0.015904,-0.077944
7199,0.514444,0.485000,0.014958,-0.022028
7399,0.512973,0.460000,0.012609,-0.069413
7599,0.513289,0.525000,0.012986,0.029027
7799,0.513333,0.515000,0.013555,0.032708
7999,0.513500,0.520000,0.014016,0.031575
8199,0.512439,0.470000,0.012050,-0.066398
8399,0.513214,0.545000,0.013094,0.056799
8599,0.513372,0.520000,0.012775,-0.005868
8799,0.513977,0.540000,0.013618,0.048309
8999,0.512778,0.460000,0.010691,-0.117550
9199,0.512826,0.515000,0.010545,0.002058
9399,0.512979,0.520000,0.010653,0.016393
9599,0.513542,0.540000,0.012007,0.074447
9799,0.513061,0.490000,0.010720,-0.055464
9999,0.514400,0.580000,0.013276,0.140753
