# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.895000,0.895000,0.785495,0.785495
399,0.867500,0.840000,0.727814,0.669285
599,0.863333,0.855000,0.720670,0.706180
799,0.865000,0.870000,0.723160,0.730374
999,0.863000,0.855000,0.717951,0.696017
1199,0.866667,0.885000,0.725557,0.763618
1399,0.865714,0.860000,0.724243,0.715909
1599,0.868750,0.890000,0.730604,0.774936
1799,0.869444,0.875000,0.731883,0.742427
1999,0.870500,0.880000,0.734069,0.753796
2199,0.870909,0.875000,0.733879,0.728261
2399,0.869583,0.855000,0.730641,0.693057
2599,0.871154,0.890000,0.734532,0.778203
2799,0.868929,0.840000,0.729612,0.664605
2999,0.869000,0.870000,0.729466,0.727034
3199,0.866563,0.830000,0.724860,0.656392
3399,0.867353,0.880000,0.726287,0.749347
3599,0.865278,0.830000,0.721806,0.644351
3799,0.867632,0.910000,0.726595,0.813336
3999,0.866000,0.835000,0.722979,0.652851
4199,0.866429,0.875000,0.724276,0.748035
4399,0.864773,0.830000,0.721070,0.654472
4599,0.861957,0.800000,0.714645,0.557669
4799,0.859167,0.795000,0.708630,0.566962
4999,0.855600,0.770000,0.701045,0.519381
5199,0.851731,0.755000,0.692968,0.498054
5399,0.848889,0.775000,0.686144,0.469465
5599,0.847679,0.815000,0.682655,0.558051
5799,0.845690,0.790000,0.678179,0.551282
5999,0.843667,0.785000,0.673515,0.529643
6199,0.838548,0.685000,0.662406,0.315366
6399,0.836562,0.775000,0.657869,0.508734
6599,0.834545,0.770000,0.653101,0.484709
6799,0.831912,0.745000,0.647133,0.436464
6999,0.830143,0.770000,0.643246,0.508547
7199,0.827222,0.725000,0.636812,0.406176
7399,0.825811,0.775000,0.633674,0.524011
7599,0.823158,0.725000,0.628181,0.436822
7799,0.822308,0.790000,0.626217,0.550080
7999,0.819750,0.720000,0.620560,0.390973
8199,0.818171,0.755000,0.617226,0.484428
8399,0.817381,0.785000,0.615446,0.542942
8599,0.816047,0.760000,0.612309,0.472701
8799,0.814886,0.765000,0.610131,0.518738
8999,0.813889,0.770000,0.607376,0.461547
9199,0.812717,0.760000,0.604956,0.502539
9399,0.811170,0.740000,0.601846,0.469658
9599,0.810729,0.790000,0.600575,0.534626
9799,0.809388,0.745000,0.597908,0.473684
9999,0.808000,0.740000,0.594782,0.438990
