# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LinearSVC.stagger_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.875000,0.875000,0.743221,0.743221
399,0.870000,0.865000,0.729638,0.715190
599,0.878333,0.895000,0.751532,0.790419
799,0.881250,0.890000,0.755287,0.765758
999,0.881000,0.880000,0.754971,0.753695
1199,0.878333,0.865000,0.748015,0.710052
1399,0.876429,0.865000,0.745910,0.731343
1599,0.878750,0.895000,0.751333,0.787879
1799,0.878889,0.880000,0.751139,0.749164
1999,0.878000,0.870000,0.749403,0.733852
2199,0.880455,0.905000,0.754554,0.805805
2399,0.883333,0.915000,0.760177,0.823101
2599,0.883077,0.880000,0.759982,0.757282
2799,0.881786,0.865000,0.757289,0.722222
2999,0.881667,0.880000,0.757050,0.753695
3199,0.881875,0.885000,0.756991,0.754693
3399,0.881176,0.870000,0.755194,0.724576
3599,0.881111,0.880000,0.755367,0.757478
3799,0.881579,0.890000,0.755745,0.761466
3999,0.880250,0.855000,0.753071,0.702503
4199,0.877381,0.820000,0.746886,0.621332
4399,0.871136,0.740000,0.733260,0.425732
4599,0.865217,0.735000,0.720447,0.422154
4799,0.856250,0.650000,0.701732,0.269616
4999,0.845400,0.585000,0.678372,0.078597
5199,0.836538,0.615000,0.659271,0.167568
5399,0.829630,0.650000,0.643758,0.203097
5599,0.816964,0.475000,0.616849,-0.122995
5799,0.808966,0.585000,0.599238,0.065736
5999,0.801333,0.580000,0.582366,0.073257
6199,0.793871,0.570000,0.565849,0.042316
6399,0.786250,0.550000,0.548655,-0.042632
6599,0.778485,0.530000,0.531770,-0.019523
6799,0.772941,0.590000,0.518364,-0.014851
6999,0.766286,0.540000,0.503127,-0.051068
7199,0.758611,0.490000,0.486527,-0.100086
7399,0.752162,0.520000,0.472612,-0.034483
7599,0.746711,0.545000,0.460357,-0.008869
7799,0.741538,0.545000,0.448609,-0.032683
7999,0.736625,0.545000,0.437589,-0.001982
8199,0.731341,0.520000,0.426385,-0.016411
8399,0.725833,0.500000,0.414893,-0.046135
8599,0.721047,0.520000,0.404330,-0.048149
8799,0.715682,0.485000,0.392760,-0.109197
8999,0.712111,0.555000,0.384349,-0.017608
9199,0.709022,0.570000,0.376855,0.004053
9399,0.705106,0.525000,0.368223,-0.025475
9599,0.701354,0.525000,0.360144,-0.020408
9799,0.697959,0.535000,0.352069,-0.063343
9999,0.694800,0.540000,0.345141,0.008621
