# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.685000,0.685000,0.544271,0.544271
399,0.642500,0.600000,0.494624,0.447170
599,0.573333,0.435000,0.409812,0.249967
799,0.525000,0.380000,0.359290,0.216553
999,0.483000,0.315000,0.323354,0.193928
1199,0.447500,0.270000,0.287791,0.133068
1399,0.423571,0.280000,0.273002,0.192214
1599,0.426875,0.450000,0.304341,0.307043
1799,0.440556,0.550000,0.332427,0.423926
1999,0.442000,0.455000,0.340155,0.333965
2199,0.429545,0.305000,0.327158,0.111963
2399,0.436250,0.510000,0.339036,0.386829
2599,0.438077,0.460000,0.343490,0.344859
2799,0.445714,0.545000,0.354888,0.427601
2999,0.452333,0.545000,0.362882,0.397929
3199,0.460625,0.585000,0.372526,0.492386
3399,0.455882,0.380000,0.367419,0.232792
3599,0.446944,0.295000,0.356802,0.107115
3799,0.453158,0.565000,0.363994,0.453226
3999,0.451250,0.415000,0.362858,0.265905
4199,0.459524,0.625000,0.372984,0.451474
4399,0.456136,0.385000,0.368633,0.094290
4599,0.453696,0.400000,0.365076,0.128350
4799,0.452083,0.415000,0.362358,0.188148
4999,0.453000,0.475000,0.362177,0.264989
5199,0.459615,0.625000,0.368209,0.471608
5399,0.467593,0.675000,0.375695,0.498824
5599,0.474107,0.650000,0.381004,0.415693
5799,0.463966,0.180000,0.370364,0.094498
5999,0.449833,0.040000,0.356049,0.012346
6199,0.443710,0.260000,0.350754,0.125580
6399,0.440469,0.340000,0.348146,0.234361
6599,0.450152,0.760000,0.359707,0.490311
6799,0.454853,0.610000,0.364629,0.405034
6999,0.463429,0.755000,0.373702,0.683483
7199,0.471806,0.765000,0.383263,0.698592
7399,0.479189,0.745000,0.392556,0.665826
7599,0.488289,0.825000,0.404298,0.665376
7799,0.495641,0.775000,0.413765,0.579302
7999,0.500375,0.685000,0.419832,0.541585
8199,0.502195,0.575000,0.422513,0.426606
8399,0.498333,0.340000,0.418575,0.204580
8599,0.497093,0.445000,0.416990,0.328331
8799,0.495000,0.405000,0.414225,0.259467
8999,0.495000,0.495000,0.413950,0.355518
9199,0.495109,0.500000,0.413611,0.373316
9399,0.497021,0.585000,0.415677,0.481055
9599,0.495625,0.430000,0.413655,0.167458
9799,0.498265,0.625000,0.416224,0.462443
9999,0.492800,0.225000,0.410280,0.175948
