# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.870000,0.870000,0.741653,0.741653
399,0.720000,0.570000,0.418544,0.054945
599,0.736667,0.770000,0.430453,0.434055
799,0.782500,0.920000,0.535371,0.834625
999,0.758000,0.660000,0.468590,0.114007
1199,0.720833,0.535000,0.402763,0.167413
1399,0.725000,0.750000,0.403669,0.399111
1599,0.730000,0.765000,0.394877,0.216144
1799,0.717222,0.615000,0.364156,0.117580
1999,0.706500,0.610000,0.338922,0.115345
2199,0.697273,0.605000,0.317781,0.113157
2399,0.671250,0.385000,0.277281,0.017729
2599,0.668077,0.630000,0.270558,0.192140
2799,0.657500,0.520000,0.260115,0.158190
2999,0.652333,0.580000,0.253837,0.179928
3199,0.652188,0.650000,0.258780,0.318005
3399,0.648824,0.595000,0.258058,0.243697
3599,0.655556,0.770000,0.275030,0.537828
3799,0.651316,0.575000,0.271951,0.222751
3999,0.656500,0.755000,0.284878,0.510000
4199,0.659762,0.725000,0.292817,0.443658
4399,0.666364,0.805000,0.307048,0.602122
4599,0.664348,0.620000,0.307315,0.289720
4799,0.666875,0.725000,0.310166,0.379513
4999,0.661800,0.540000,0.301387,0.118352
5199,0.666154,0.775000,0.317723,0.567972
5399,0.666296,0.670000,0.319113,0.352243
5599,0.673036,0.855000,0.332608,0.703779
5799,0.675000,0.730000,0.333776,0.359050
5999,0.674667,0.665000,0.329281,0.102117
6199,0.672097,0.595000,0.322407,0.077239
6399,0.672031,0.670000,0.317498,0.000000
6599,0.666970,0.505000,0.307289,0.000000
6799,0.664853,0.595000,0.305827,0.257562
6999,0.663571,0.620000,0.301181,0.097280
7199,0.661667,0.595000,0.296479,0.118607
7399,0.658784,0.555000,0.289522,0.012209
7599,0.664605,0.880000,0.302397,0.760861
7799,0.661282,0.535000,0.296111,0.078478
7999,0.660125,0.615000,0.297202,0.311024
8199,0.663049,0.780000,0.303123,0.543710
8399,0.664048,0.705000,0.307211,0.439590
8599,0.666744,0.780000,0.311671,0.520436
8799,0.665114,0.595000,0.310496,0.262966
8999,0.668333,0.810000,0.317554,0.617090
9199,0.671522,0.815000,0.323335,0.605375
9399,0.671596,0.675000,0.320714,0.090909
9599,0.669583,0.575000,0.317775,0.199322
9799,0.666531,0.520000,0.311850,0.049034
9999,0.667200,0.700000,0.309525,0.000000
