# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.725000,0.725000,0.447680,0.447680
399,0.727500,0.730000,0.455027,0.457559
599,0.748333,0.790000,0.496678,0.580378
799,0.746250,0.740000,0.492506,0.480000
999,0.754000,0.785000,0.508000,0.570086
1199,0.744167,0.695000,0.488214,0.384833
1399,0.745000,0.750000,0.489850,0.499600
1599,0.741875,0.720000,0.483401,0.435655
1799,0.735556,0.685000,0.470827,0.370126
1999,0.737000,0.750000,0.473832,0.500749
2199,0.734091,0.705000,0.468098,0.411765
2399,0.732500,0.715000,0.464926,0.430683
2599,0.732308,0.730000,0.464505,0.459135
2799,0.732500,0.735000,0.464684,0.464105
2999,0.733000,0.740000,0.465850,0.478174
3199,0.734688,0.760000,0.469412,0.518121
3399,0.732647,0.700000,0.465264,0.402152
3599,0.733611,0.750000,0.467269,0.496830
3799,0.732105,0.705000,0.464320,0.411060
3999,0.734500,0.780000,0.469089,0.557878
4199,0.733333,0.710000,0.466699,0.417963
4399,0.732273,0.710000,0.464567,0.420058
4599,0.731087,0.705000,0.462218,0.409291
4799,0.732917,0.775000,0.465815,0.548646
4999,0.734600,0.775000,0.469087,0.546371
5199,0.732115,0.670000,0.464117,0.340989
5399,0.732593,0.745000,0.465085,0.490000
5599,0.731607,0.705000,0.463091,0.408343
5799,0.731552,0.730000,0.463004,0.459568
5999,0.731000,0.715000,0.461905,0.430114
6199,0.730000,0.700000,0.459857,0.397651
6399,0.731094,0.765000,0.462098,0.529435
6599,0.732273,0.770000,0.464497,0.539078
6799,0.731324,0.700000,0.462596,0.400240
6999,0.731000,0.720000,0.461943,0.439832
7199,0.730556,0.715000,0.461096,0.425982
7399,0.730270,0.720000,0.460545,0.439103
7599,0.730395,0.735000,0.460782,0.468405
7799,0.728718,0.665000,0.457414,0.328792
7999,0.728875,0.735000,0.457730,0.470424
8199,0.728171,0.700000,0.456326,0.400480
8399,0.728214,0.730000,0.456414,0.460000
8599,0.728488,0.740000,0.456977,0.482484
8799,0.728295,0.720000,0.456616,0.447459
8999,0.727333,0.685000,0.454658,0.366197
9199,0.727065,0.715000,0.454125,0.430342
9399,0.727766,0.760000,0.455497,0.516129
9599,0.727396,0.710000,0.454771,0.420869
9799,0.727041,0.710000,0.454065,0.420174
9999,0.726200,0.685000,0.452421,0.378085
