# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.led_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.720000,0.720000,0.687247,0.687247
399,0.705000,0.690000,0.671481,0.654076
599,0.698333,0.685000,0.664405,0.649474
799,0.703750,0.720000,0.670627,0.688118
999,0.708000,0.725000,0.675377,0.693900
1199,0.699167,0.655000,0.665569,0.615095
1399,0.697857,0.690000,0.664178,0.654558
1599,0.693750,0.665000,0.659639,0.627436
1799,0.693333,0.690000,0.659193,0.655881
1999,0.690000,0.660000,0.655489,0.621897
2199,0.691364,0.705000,0.657014,0.671593
2399,0.688333,0.655000,0.653651,0.614998
2599,0.687308,0.675000,0.652509,0.638185
2799,0.684286,0.645000,0.649147,0.604336
2999,0.687000,0.725000,0.652171,0.693311
3199,0.687813,0.700000,0.653079,0.666546
3399,0.690000,0.725000,0.655524,0.692797
3599,0.690833,0.705000,0.656452,0.670419
3799,0.688684,0.650000,0.654059,0.610992
3999,0.689750,0.710000,0.655230,0.674924
4199,0.691429,0.725000,0.657101,0.693977
4399,0.693636,0.740000,0.659574,0.710395
4599,0.692826,0.675000,0.658672,0.638085
4799,0.691458,0.660000,0.657150,0.620313
4999,0.692800,0.725000,0.658649,0.694377
5199,0.693462,0.710000,0.659394,0.677033
5399,0.692222,0.660000,0.658019,0.620451
5599,0.691607,0.675000,0.657335,0.635620
5799,0.692759,0.725000,0.658610,0.693029
5999,0.691500,0.655000,0.657215,0.616091
6199,0.693065,0.740000,0.658955,0.710766
6399,0.693438,0.705000,0.659371,0.671940
6599,0.694545,0.730000,0.660602,0.699533
6799,0.695147,0.715000,0.661281,0.681546
6999,0.695429,0.705000,0.661595,0.671199
7199,0.695972,0.715000,0.662199,0.682787
7399,0.695946,0.695000,0.662170,0.659304
7599,0.695526,0.680000,0.661698,0.644612
7799,0.694103,0.640000,0.660118,0.599377
7999,0.694500,0.710000,0.660562,0.676267
8199,0.694024,0.675000,0.660035,0.637317
8399,0.694762,0.725000,0.660852,0.693585
8599,0.696744,0.780000,0.663056,0.754881
8799,0.697500,0.730000,0.663893,0.698921
8999,0.696889,0.670000,0.663214,0.632701
9199,0.698043,0.750000,0.664495,0.721417
9399,0.697872,0.690000,0.664304,0.654278
9599,0.698542,0.730000,0.665046,0.698971
9799,0.698163,0.680000,0.664620,0.642837
9999,0.699400,0.760000,0.665993,0.732769
