# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.865000,0.865000,0.177832,0.177832
399,0.870000,0.875000,0.102210,0.000000
599,0.773333,0.580000,0.232924,0.158232
799,0.721250,0.565000,0.252396,0.241830
999,0.715000,0.690000,0.270480,0.317669
1199,0.727500,0.790000,0.293150,0.423037
1399,0.706429,0.580000,0.259767,0.210044
1599,0.706875,0.710000,0.384947,0.250840
1799,0.691667,0.570000,0.365478,0.223336
1999,0.678500,0.560000,0.333089,0.125857
2199,0.681364,0.710000,0.329404,0.273183
2399,0.684167,0.715000,0.319209,0.099526
2599,0.690000,0.760000,0.356399,0.578504
2799,0.687500,0.655000,0.376785,0.232609
2999,0.672667,0.465000,0.345516,0.107441
3199,0.671250,0.650000,0.336865,0.202370
3399,0.674412,0.725000,0.332727,0.105691
3599,0.680000,0.775000,0.353417,0.609578
3799,0.684211,0.760000,0.374671,0.225432
3999,0.670000,0.400000,0.344935,0.037304
4199,0.666429,0.595000,0.334197,0.130528
4399,0.673409,0.820000,0.338681,0.180141
4599,0.659565,0.355000,0.316551,-0.121349
4799,0.645625,0.325000,0.297768,0.073884
4999,0.640600,0.520000,0.291077,0.120557
5199,0.648462,0.845000,0.316176,0.662989
5399,0.644815,0.550000,0.317827,0.016823
5599,0.630893,0.255000,0.295915,0.017992
5799,0.622069,0.375000,0.281614,0.035345
5999,0.629167,0.835000,0.298718,0.700150
6199,0.631935,0.715000,0.309568,0.168429
6399,0.617656,0.175000,0.286889,0.002056
6599,0.611061,0.400000,0.276780,0.100989
6799,0.619118,0.885000,0.292885,0.717982
6999,0.609000,0.265000,0.277672,0.000000
7199,0.596389,0.155000,0.258568,0.004946
7399,0.591892,0.430000,0.253520,0.140271
7599,0.583158,0.260000,0.242691,0.059959
7799,0.578974,0.420000,0.239169,0.084596
7999,0.585875,0.855000,0.254284,0.518312
8199,0.579756,0.335000,0.246539,0.009495
8399,0.572857,0.290000,0.237078,0.000000
8599,0.578953,0.835000,0.250312,0.539171
8799,0.572614,0.300000,0.241515,0.009130
8999,0.567889,0.360000,0.235504,0.039616
9199,0.572391,0.775000,0.242973,0.289268
9399,0.562234,0.095000,0.229067,0.000000
9599,0.558438,0.380000,0.224799,0.050718
9799,0.554082,0.345000,0.219707,0.055584
9999,0.557200,0.710000,0.225157,0.200882
