# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.655000,0.655000,0.254699,0.254699
399,0.657500,0.660000,0.283398,0.304917
599,0.650000,0.635000,0.271845,0.248353
799,0.650000,0.650000,0.276261,0.293215
999,0.654000,0.670000,0.276880,0.281124
1199,0.653333,0.650000,0.279248,0.293500
1399,0.647143,0.610000,0.267051,0.194215
1599,0.650000,0.670000,0.269368,0.280654
1799,0.656667,0.710000,0.282459,0.389023
1999,0.659000,0.680000,0.287412,0.331942
2199,0.656818,0.635000,0.285412,0.264261
2399,0.655833,0.645000,0.281690,0.240154
2599,0.650385,0.585000,0.272384,0.159579
2799,0.648571,0.625000,0.267605,0.204328
2999,0.648000,0.640000,0.265328,0.232818
3199,0.645000,0.600000,0.260326,0.184339
3399,0.645882,0.660000,0.261389,0.280042
3599,0.643333,0.600000,0.256995,0.185668
3799,0.642105,0.620000,0.253146,0.180063
3999,0.643500,0.670000,0.256988,0.328723
4199,0.645476,0.685000,0.263172,0.371759
4399,0.644773,0.630000,0.262451,0.249873
4599,0.644565,0.640000,0.261878,0.250000
4799,0.643958,0.630000,0.260503,0.228765
4999,0.646000,0.695000,0.263581,0.342531
5199,0.645192,0.625000,0.261625,0.211854
5399,0.643519,0.600000,0.257641,0.152542
5599,0.643929,0.655000,0.258312,0.278243
5799,0.643103,0.620000,0.257961,0.245732
5999,0.644500,0.685000,0.259597,0.309059
6199,0.642742,0.590000,0.254693,0.092920
6399,0.643437,0.665000,0.254103,0.215640
6599,0.643333,0.640000,0.254381,0.265905
6799,0.643971,0.665000,0.255283,0.287840
6999,0.643429,0.625000,0.253867,0.212516
7199,0.643750,0.655000,0.254089,0.261242
7399,0.641622,0.565000,0.249518,0.084789
7599,0.640000,0.580000,0.245958,0.113924
7799,0.639231,0.610000,0.244857,0.203675
7999,0.640500,0.690000,0.247129,0.337253
8199,0.641341,0.675000,0.248850,0.318086
8399,0.641667,0.655000,0.249330,0.268758
8599,0.643721,0.730000,0.252971,0.413043
8799,0.642955,0.610000,0.251273,0.178342
8999,0.643333,0.660000,0.251533,0.260950
9199,0.642935,0.625000,0.250528,0.204497
9399,0.643617,0.675000,0.251949,0.318086
9599,0.643229,0.625000,0.250290,0.165554
9799,0.643367,0.650000,0.250066,0.236808
9999,0.643800,0.665000,0.249809,0.225434
