# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.870000,0.870000,0.691395,0.691395
399,0.855000,0.840000,0.650518,0.608179
599,0.856667,0.860000,0.647194,0.639175
799,0.851250,0.835000,0.631276,0.581961
999,0.857000,0.880000,0.643338,0.692938
1199,0.849167,0.810000,0.625731,0.541893
1399,0.854286,0.885000,0.636626,0.704142
1599,0.855625,0.865000,0.640090,0.665096
1799,0.861111,0.905000,0.653520,0.761666
1999,0.863000,0.880000,0.656772,0.686807
2199,0.861818,0.850000,0.656736,0.653859
2399,0.864167,0.890000,0.664282,0.741632
2599,0.866923,0.900000,0.670195,0.743820
2799,0.866429,0.860000,0.668352,0.643539
2999,0.865667,0.855000,0.666442,0.639752
3199,0.867500,0.895000,0.669135,0.711301
3399,0.867941,0.875000,0.669266,0.670706
3599,0.866944,0.850000,0.666321,0.615187
3799,0.867895,0.885000,0.669717,0.726711
3999,0.866250,0.835000,0.666881,0.617258
4199,0.863810,0.815000,0.660955,0.543773
4399,0.862500,0.835000,0.656785,0.562334
4599,0.862609,0.865000,0.657371,0.669927
4799,0.861250,0.830000,0.656285,0.627193
4999,0.861200,0.860000,0.655111,0.622489
5199,0.859423,0.815000,0.651538,0.566237
5399,0.860370,0.885000,0.653043,0.693578
5599,0.862143,0.910000,0.657225,0.772411
5799,0.861552,0.845000,0.655826,0.616906
5999,0.862500,0.890000,0.657492,0.710488
6199,0.861935,0.845000,0.657874,0.660311
6399,0.863437,0.910000,0.660457,0.747191
6599,0.863333,0.860000,0.660725,0.668089
6799,0.864265,0.895000,0.662805,0.733096
6999,0.865000,0.890000,0.664476,0.722222
7199,0.865278,0.875000,0.664548,0.668874
7399,0.864730,0.845000,0.662051,0.551894
7599,0.864474,0.855000,0.661724,0.649928
7799,0.864231,0.855000,0.661120,0.638404
7999,0.864375,0.870000,0.661937,0.691395
8199,0.865244,0.900000,0.662776,0.694377
8399,0.866310,0.910000,0.665327,0.771950
8599,0.866744,0.885000,0.666385,0.711055
8799,0.866705,0.865000,0.666818,0.683247
8999,0.865556,0.815000,0.663364,0.495500
9199,0.865435,0.860000,0.662594,0.624060
9399,0.865532,0.870000,0.662236,0.641626
9599,0.865000,0.840000,0.661719,0.636529
9799,0.865408,0.885000,0.662564,0.704142
9999,0.864800,0.835000,0.660856,0.574961
