# TEST CONFIGURATION BEGIN
# FileStream(filename='weather.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.LogisticRegression.weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.800000,0.800000,0.418605,0.418605
399,0.765000,0.730000,0.450935,0.437500
599,0.798333,0.865000,0.467648,0.446267
799,0.775000,0.705000,0.452309,0.382199
999,0.784000,0.820000,0.457395,0.470977
1199,0.795000,0.850000,0.499457,0.671629
1399,0.796429,0.805000,0.494186,0.449619
1599,0.799375,0.820000,0.495442,0.501109
1799,0.799444,0.800000,0.496120,0.501496
1999,0.805500,0.860000,0.499595,0.510917
2199,0.799091,0.735000,0.490296,0.409405
2399,0.796667,0.770000,0.480047,0.352113
2599,0.786154,0.660000,0.464053,0.278515
2799,0.788214,0.815000,0.457880,0.266455
2999,0.785333,0.745000,0.457053,0.434213
3199,0.785000,0.780000,0.447454,0.199272
3399,0.782941,0.750000,0.438251,0.262537
3599,0.780556,0.740000,0.429635,0.285714
3799,0.778684,0.745000,0.426048,0.366302
3999,0.775750,0.720000,0.423200,0.380531
4199,0.778810,0.840000,0.428776,0.547703
4399,0.777500,0.750000,0.423866,0.318430
4599,0.779130,0.815000,0.423875,0.408000
4799,0.774792,0.675000,0.412248,0.151879
4999,0.775000,0.780000,0.408622,0.282101
5199,0.776154,0.805000,0.407479,0.352375
5399,0.777037,0.800000,0.407247,0.393572
5599,0.777500,0.790000,0.409326,0.462709
5799,0.778276,0.800000,0.410859,0.454669
5999,0.779667,0.820000,0.410027,0.352518
6199,0.778548,0.745000,0.408619,0.367403
6399,0.781563,0.875000,0.411211,0.490628
6599,0.781212,0.770000,0.410214,0.379720
6799,0.784118,0.880000,0.411598,0.399550
6999,0.783571,0.765000,0.414304,0.470959
7199,0.784028,0.800000,0.415322,0.452730
7399,0.783514,0.765000,0.417357,0.463470
7599,0.781316,0.700000,0.413897,0.295361
7799,0.782308,0.820000,0.414387,0.429929
7999,0.780500,0.710000,0.413515,0.372566
8199,0.779024,0.720000,0.409471,0.268070
8399,0.775000,0.610000,0.404972,0.230845
8599,0.774302,0.745000,0.402879,0.323248
8799,0.773864,0.755000,0.406616,0.488518
8999,0.773889,0.775000,0.407133,0.428644
9199,0.773261,0.745000,0.407265,0.405040
9399,0.773511,0.785000,0.406348,0.349667
9599,0.774271,0.810000,0.405705,0.337517
9799,0.773776,0.750000,0.407821,0.465584
9999,0.774100,0.790000,0.405895,0.240232
