# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.agrawal_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,1.000000,1.000000,1.000000,1.000000
399,1.000000,1.000000,1.000000,1.000000
599,1.000000,1.000000,1.000000,1.000000
799,1.000000,1.000000,1.000000,1.000000
999,1.000000,1.000000,1.000000,1.000000
1199,1.000000,1.000000,1.000000,1.000000
1399,1.000000,1.000000,1.000000,1.000000
1599,1.000000,1.000000,1.000000,1.000000
1799,1.000000,1.000000,1.000000,1.000000
1999,1.000000,1.000000,1.000000,1.000000
2199,1.000000,1.000000,1.000000,1.000000
2399,1.000000,1.000000,1.000000,1.000000
2599,1.000000,1.000000,1.000000,1.000000
2799,1.000000,1.000000,1.000000,1.000000
2999,1.000000,1.000000,1.000000,1.000000
3199,1.000000,1.000000,1.000000,1.000000
3399,1.000000,1.000000,1.000000,1.000000
3599,1.000000,1.000000,1.000000,1.000000
3799,1.000000,1.000000,1.000000,1.000000
3999,1.000000,1.000000,1.000000,1.000000
4199,1.000000,1.000000,1.000000,1.000000
4399,1.000000,1.000000,1.000000,1.000000
4599,0.988913,0.745000,0.974873,0.465297
4799,0.969792,0.530000,0.931666,0.020833
4999,0.946600,0.390000,0.879923,-0.223548
5199,0.926154,0.415000,0.834632,-0.193634
5399,0.909259,0.470000,0.797636,-0.084288
5599,0.895000,0.510000,0.766840,0.006589
5799,0.879655,0.450000,0.733474,-0.121877
5999,0.867500,0.515000,0.707332,0.048647
6199,0.853065,0.420000,0.676799,-0.162907
6399,0.840938,0.465000,0.650951,-0.105829
6599,0.830303,0.490000,0.629225,-0.018066
6799,0.819853,0.475000,0.607077,-0.067507
6999,0.809571,0.460000,0.585751,-0.089478
7199,0.800000,0.465000,0.565650,-0.101730
7399,0.791081,0.470000,0.548107,-0.054097
7599,0.784474,0.540000,0.534737,0.061990
7799,0.775641,0.440000,0.516904,-0.122582
7999,0.766625,0.415000,0.498599,-0.181818
8199,0.758171,0.420000,0.481160,-0.175994
8399,0.750952,0.455000,0.466015,-0.134944
8599,0.745698,0.525000,0.455152,0.022634
8799,0.741023,0.540000,0.445650,0.054276
8999,0.735556,0.495000,0.434229,-0.042097
9199,0.729674,0.465000,0.422367,-0.081026
9399,0.723191,0.425000,0.408820,-0.188999
9599,0.718958,0.520000,0.400195,0.016393
9799,0.714184,0.485000,0.390783,-0.033514
9999,0.708100,0.410000,0.378528,-0.201018
