# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.645000,0.645000,0.559458,0.559458
399,0.600000,0.555000,0.512615,0.455624
599,0.531667,0.395000,0.435986,0.267355
799,0.495000,0.385000,0.393819,0.236618
999,0.495000,0.495000,0.386348,0.309307
1199,0.529167,0.700000,0.420548,0.542037
1399,0.559286,0.740000,0.449276,0.487584
1599,0.568125,0.630000,0.449879,0.367792
1799,0.566111,0.550000,0.438969,0.293120
1999,0.556000,0.465000,0.422485,0.255341
2199,0.555909,0.555000,0.419380,0.386757
2399,0.549167,0.475000,0.405891,0.207338
2599,0.550385,0.565000,0.400383,0.313907
2799,0.550357,0.550000,0.413398,0.431280
2999,0.550000,0.545000,0.427958,0.232941
3199,0.562500,0.750000,0.454247,0.535726
3399,0.571765,0.720000,0.471324,0.619345
3599,0.583056,0.775000,0.484893,0.525266
3799,0.590263,0.720000,0.493406,0.572389
3999,0.602000,0.825000,0.508881,0.777848
4199,0.613333,0.840000,0.526796,0.794839
4399,0.625909,0.890000,0.546649,0.859038
4599,0.636739,0.875000,0.564625,0.768186
4799,0.648125,0.910000,0.581679,0.841821
4999,0.655600,0.835000,0.592693,0.765608
5199,0.662308,0.830000,0.602047,0.769186
5399,0.668519,0.830000,0.610254,0.771881
5599,0.673571,0.810000,0.616663,0.764830
5799,0.677241,0.780000,0.620981,0.730722
5999,0.681500,0.805000,0.625793,0.740924
6199,0.677742,0.565000,0.621347,0.471815
6399,0.674531,0.575000,0.617152,0.451896
6599,0.673182,0.630000,0.614660,0.389942
6799,0.667500,0.480000,0.607195,0.258731
6999,0.665286,0.590000,0.604742,0.484115
7199,0.662639,0.570000,0.601852,0.430878
7399,0.660811,0.595000,0.599099,-0.102941
7599,0.662105,0.710000,0.599729,0.040053
7799,0.665000,0.775000,0.602212,0.392999
7999,0.666125,0.710000,0.602348,0.205860
8199,0.666098,0.665000,0.601103,0.236902
8399,0.665952,0.660000,0.599520,0.184506
8599,0.665116,0.630000,0.597132,0.195827
8799,0.663295,0.585000,0.593522,0.132525
8999,0.661111,0.565000,0.589525,0.147059
9199,0.660652,0.640000,0.587324,0.187175
9399,0.661383,0.695000,0.586398,0.237214
9599,0.660625,0.625000,0.583711,0.137534
9799,0.659388,0.600000,0.580459,0.127400
9999,0.657800,0.580000,0.576723,0.083170
