# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.840000,0.840000,0.679487,0.679487
399,0.837500,0.835000,0.672594,0.664293
599,0.825000,0.800000,0.648477,0.600360
799,0.833750,0.860000,0.665598,0.718168
999,0.842000,0.875000,0.682746,0.750000
1199,0.835833,0.805000,0.671294,0.608355
1399,0.819286,0.720000,0.637973,0.449253
1599,0.809375,0.740000,0.617890,0.480000
1799,0.811111,0.825000,0.621983,0.642565
1999,0.802500,0.725000,0.605050,0.460255
2199,0.805909,0.840000,0.611410,0.646018
2399,0.810833,0.865000,0.621284,0.729838
2599,0.811923,0.825000,0.623635,0.648524
2799,0.812500,0.820000,0.625067,0.614932
2999,0.814000,0.835000,0.628021,0.616101
3199,0.805312,0.675000,0.610438,0.306741
3399,0.802647,0.760000,0.604247,0.402093
3599,0.794167,0.650000,0.587038,0.296412
3799,0.787368,0.665000,0.573898,0.330937
3999,0.784000,0.720000,0.566646,0.406717
4199,0.781429,0.730000,0.561253,0.448586
4399,0.778864,0.725000,0.555887,0.440488
4599,0.774565,0.680000,0.547605,0.380085
4799,0.775625,0.800000,0.549858,0.600120
4999,0.779000,0.860000,0.557178,0.707082
5199,0.782308,0.865000,0.563766,0.730000
5399,0.783333,0.810000,0.566061,0.615346
5599,0.782857,0.770000,0.564935,0.532283
5799,0.784655,0.835000,0.568757,0.670987
5999,0.786333,0.835000,0.572134,0.670066
6199,0.784032,0.715000,0.567435,0.431478
6399,0.783438,0.765000,0.565759,0.424725
6599,0.781515,0.720000,0.561994,0.448819
6799,0.783235,0.840000,0.565422,0.680925
6999,0.782000,0.740000,0.562165,0.226190
7199,0.779722,0.700000,0.557599,0.423963
7399,0.781486,0.845000,0.560425,0.622228
7599,0.779079,0.690000,0.554917,0.243533
7799,0.773974,0.580000,0.544013,0.038792
7999,0.772000,0.695000,0.539543,0.327008
8199,0.772805,0.805000,0.540396,0.535050
8399,0.772262,0.750000,0.539032,0.477261
8599,0.770116,0.680000,0.534648,0.354839
8799,0.770227,0.775000,0.533546,0.296875
8999,0.769889,0.755000,0.531622,0.296381
9199,0.768913,0.725000,0.528478,0.234836
9399,0.769681,0.805000,0.529037,0.514925
9599,0.768021,0.690000,0.525876,0.402006
9799,0.769490,0.840000,0.529310,0.680256
9999,0.770000,0.795000,0.530040,0.563458
