# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.510000,0.510000,0.020000,0.020000
399,0.560000,0.610000,0.117971,0.216553
599,0.571667,0.595000,0.141731,0.189189
799,0.572500,0.575000,0.145000,0.154061
999,0.562000,0.520000,0.123411,0.037690
1199,0.568333,0.600000,0.135081,0.191593
1399,0.575000,0.615000,0.147997,0.225819
1599,0.573125,0.560000,0.145625,0.134540
1799,0.574444,0.585000,0.148515,0.171822
1999,0.577000,0.600000,0.154484,0.205166
2199,0.575455,0.560000,0.152290,0.134540
2399,0.575417,0.575000,0.151650,0.146929
2599,0.574615,0.565000,0.150009,0.130000
2799,0.577500,0.615000,0.155124,0.218274
2999,0.579333,0.605000,0.158667,0.208417
3199,0.579688,0.585000,0.159375,0.170000
3399,0.579412,0.575000,0.159027,0.154229
3599,0.581111,0.610000,0.162419,0.220000
3799,0.580263,0.565000,0.160993,0.135704
3999,0.576750,0.510000,0.154139,0.025845
4199,0.578333,0.610000,0.157344,0.220857
4399,0.574318,0.490000,0.149770,-0.009102
4599,0.573478,0.555000,0.148214,0.114780
4799,0.575208,0.615000,0.151234,0.223790
4999,0.577400,0.630000,0.156371,0.261772
5199,0.575769,0.535000,0.153812,0.084285
5399,0.574815,0.550000,0.152160,0.111111
5599,0.575000,0.580000,0.152123,0.152799
5799,0.573621,0.535000,0.149671,0.083744
5999,0.576333,0.655000,0.154414,0.283191
6199,0.574839,0.530000,0.151260,0.056225
6399,0.575625,0.600000,0.152194,0.171757
6599,0.576061,0.590000,0.152868,0.176293
6799,0.575735,0.565000,0.152487,0.133639
6999,0.576714,0.610000,0.154126,0.206672
7199,0.577778,0.615000,0.156378,0.235049
7399,0.574730,0.465000,0.150536,-0.062984
7599,0.573684,0.535000,0.148475,0.072597
7799,0.572308,0.520000,0.145923,0.049975
7999,0.572500,0.580000,0.146571,0.168728
8199,0.570488,0.490000,0.142946,0.001957
8399,0.569881,0.545000,0.142057,0.104507
8599,0.569070,0.535000,0.140324,0.068883
8799,0.567727,0.510000,0.137437,0.012097
8999,0.567333,0.550000,0.136598,0.100000
9199,0.567283,0.565000,0.136869,0.148728
9399,0.567128,0.560000,0.136506,0.120000
9599,0.566042,0.515000,0.134352,0.032901
9799,0.564388,0.485000,0.131176,-0.017384
9999,0.563700,0.530000,0.129978,0.073344
