# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.led_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.275000,0.275000,0.194489,0.194489
399,0.272500,0.270000,0.192508,0.190463
599,0.280000,0.295000,0.200022,0.213345
799,0.277500,0.270000,0.198081,0.188754
999,0.274000,0.260000,0.194094,0.179328
1199,0.270000,0.250000,0.189757,0.168192
1399,0.265714,0.240000,0.184952,0.153392
1599,0.263125,0.245000,0.182011,0.162112
1799,0.263333,0.265000,0.181975,0.179619
1999,0.263500,0.265000,0.182271,0.185325
2199,0.265909,0.290000,0.184870,0.209442
2399,0.270000,0.315000,0.189195,0.237597
2599,0.271154,0.285000,0.190669,0.209442
2799,0.272500,0.290000,0.192185,0.212052
2999,0.275000,0.310000,0.194916,0.234184
3199,0.273125,0.245000,0.192814,0.162228
3399,0.276765,0.335000,0.196938,0.259218
3599,0.277500,0.290000,0.197691,0.209904
3799,0.276579,0.260000,0.196674,0.177046
3999,0.277250,0.290000,0.197354,0.211965
4199,0.280000,0.335000,0.200390,0.259053
4399,0.279545,0.270000,0.199841,0.188009
4599,0.278913,0.265000,0.199059,0.178358
4799,0.279167,0.285000,0.199371,0.205489
4999,0.280400,0.310000,0.200785,0.232224
5199,0.279808,0.265000,0.200224,0.187419
5399,0.280185,0.290000,0.200620,0.208980
5599,0.281071,0.305000,0.201628,0.228678
5799,0.282586,0.325000,0.203259,0.249416
5999,0.282667,0.285000,0.203295,0.204362
6199,0.283226,0.300000,0.203883,0.220945
6399,0.281406,0.225000,0.201827,0.138506
6599,0.281212,0.275000,0.201574,0.192785
6799,0.281029,0.275000,0.201382,0.194221
6999,0.282143,0.320000,0.202705,0.246475
7199,0.282639,0.300000,0.203281,0.222676
7399,0.282297,0.270000,0.202922,0.189204
7599,0.283421,0.325000,0.204103,0.245747
7799,0.284744,0.335000,0.205500,0.258206
7999,0.284625,0.280000,0.205345,0.198441
8199,0.284512,0.280000,0.205207,0.197369
8399,0.283571,0.245000,0.204208,0.163481
8599,0.283605,0.285000,0.204192,0.202142
8799,0.283523,0.280000,0.204068,0.196182
8999,0.285000,0.350000,0.205686,0.277416
9199,0.284457,0.260000,0.205089,0.179146
9399,0.284468,0.285000,0.205064,0.203963
9599,0.284792,0.300000,0.205376,0.219795
9799,0.285408,0.315000,0.206076,0.239058
9999,0.284500,0.240000,0.205038,0.154028
