# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.945000,0.945000,0.762316,0.762316
399,0.935000,0.925000,0.760070,0.756098
599,0.928333,0.915000,0.840847,0.832231
799,0.943750,0.990000,0.888755,0.969512
999,0.951000,0.980000,0.896493,0.835729
1199,0.957500,0.990000,0.904611,0.950884
1399,0.962143,0.990000,0.910797,0.958480
1599,0.961250,0.955000,0.911370,0.912723
1799,0.958889,0.940000,0.905405,0.852544
1999,0.955000,0.920000,0.897563,0.832496
2199,0.894545,0.290000,0.770802,0.014231
2399,0.858333,0.460000,0.697052,0.095402
2599,0.866923,0.970000,0.710352,0.911791
2799,0.872143,0.940000,0.717392,0.825809
2999,0.849000,0.525000,0.673843,0.196957
3199,0.816250,0.325000,0.610678,0.021385
3399,0.821765,0.910000,0.614138,0.607672
3599,0.827778,0.930000,0.621685,0.778761
3799,0.800263,0.305000,0.570931,0.038827
3999,0.801000,0.815000,0.566786,0.388632
4199,0.810238,0.995000,0.579147,0.978921
4399,0.817955,0.980000,0.596518,0.957320
4599,0.822826,0.930000,0.605131,0.818418
4799,0.826250,0.905000,0.615458,0.815918
4999,0.801600,0.210000,0.572841,-0.066703
5199,0.800962,0.785000,0.570892,0.519768
5399,0.806296,0.945000,0.580304,0.863608
5599,0.785179,0.215000,0.544661,-0.041287
5799,0.785172,0.785000,0.541033,0.357105
5999,0.787000,0.840000,0.543592,0.624413
6199,0.770161,0.265000,0.513326,-0.009650
6399,0.777188,0.995000,0.521085,0.970220
6599,0.781970,0.935000,0.532796,0.873553
6799,0.787059,0.955000,0.543381,0.903382
6999,0.773429,0.310000,0.521007,0.013228
7199,0.778472,0.955000,0.529697,0.889530
7399,0.766351,0.330000,0.510084,0.054307
7599,0.770000,0.905000,0.513962,0.691859
7799,0.760000,0.380000,0.496894,0.055634
7999,0.762750,0.870000,0.501920,0.727934
8199,0.758780,0.600000,0.499207,0.350175
8399,0.752857,0.510000,0.489268,0.134314
8599,0.743605,0.355000,0.476317,0.047373
8799,0.735341,0.380000,0.462171,-0.089344
8999,0.730556,0.520000,0.458330,0.234053
9199,0.722174,0.345000,0.447758,-0.053097
9399,0.715213,0.395000,0.436843,0.011196
9599,0.706875,0.315000,0.427888,-0.074889
9799,0.697449,0.245000,0.417621,-0.234417
9999,0.698700,0.760000,0.428659,0.342060
