# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.515000,0.515000,0.035785,0.035785
399,0.542500,0.570000,0.081556,0.124236
599,0.525000,0.490000,0.054977,0.005945
799,0.528750,0.540000,0.062457,0.084121
999,0.539000,0.580000,0.080538,0.154674
1199,0.550833,0.610000,0.098134,0.186144
1399,0.557143,0.595000,0.108170,0.167523
1599,0.565625,0.625000,0.125024,0.243189
1799,0.566667,0.575000,0.124333,0.116608
1999,0.573000,0.630000,0.137120,0.252223
2199,0.572727,0.570000,0.136857,0.135244
2399,0.574167,0.590000,0.138904,0.159836
2599,0.574615,0.580000,0.139454,0.145647
2799,0.570000,0.510000,0.130336,0.014085
2999,0.573000,0.615000,0.137161,0.228920
3199,0.572500,0.565000,0.137564,0.135189
3399,0.573824,0.595000,0.141211,0.199605
3599,0.576111,0.615000,0.145749,0.223790
3799,0.577105,0.595000,0.147060,0.177164
3999,0.576750,0.570000,0.147223,0.152208
4199,0.578571,0.615000,0.150401,0.221436
4399,0.579773,0.605000,0.153606,0.216270
4599,0.583478,0.665000,0.159730,0.294737
4799,0.583542,0.585000,0.159923,0.164317
4999,0.585000,0.620000,0.162401,0.221311
5199,0.587115,0.640000,0.166187,0.261311
5399,0.588889,0.635000,0.169533,0.256165
5599,0.588929,0.590000,0.169707,0.174635
5799,0.587931,0.560000,0.167591,0.107957
5999,0.585667,0.520000,0.163147,0.034497
6199,0.583710,0.525000,0.158938,0.029622
6399,0.582344,0.540000,0.156346,0.083209
6599,0.582879,0.600000,0.157955,0.205719
6799,0.583529,0.605000,0.158607,0.171734
6999,0.584429,0.615000,0.160137,0.210418
7199,0.584583,0.590000,0.160911,0.184161
7399,0.585946,0.635000,0.164046,0.274786
7599,0.585658,0.575000,0.163192,0.128384
7799,0.583590,0.505000,0.159191,0.013158
7999,0.583625,0.585000,0.159309,0.163981
8199,0.582683,0.545000,0.157405,0.083585
8399,0.582500,0.575000,0.156738,0.130879
8599,0.581977,0.560000,0.155229,0.082569
8799,0.581932,0.580000,0.154846,0.134288
8999,0.582444,0.605000,0.155553,0.187577
9199,0.581957,0.560000,0.154453,0.104326
9399,0.583191,0.640000,0.156790,0.264706
9599,0.582604,0.555000,0.155675,0.104808
9799,0.581633,0.535000,0.153497,0.044782
9999,0.581300,0.565000,0.152634,0.107875
