# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.RandomForestClassifier.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.865000,0.865000,0.725777,0.725777
399,0.855000,0.845000,0.703355,0.680215
599,0.850000,0.840000,0.694584,0.676768
799,0.850000,0.850000,0.693097,0.687793
999,0.845000,0.825000,0.681968,0.636628
1199,0.847500,0.860000,0.686912,0.711697
1399,0.845714,0.835000,0.683767,0.664770
1599,0.850625,0.885000,0.693838,0.764344
1799,0.850000,0.845000,0.692355,0.680610
1999,0.848000,0.830000,0.688767,0.657534
2199,0.846818,0.835000,0.685393,0.647059
2399,0.845833,0.835000,0.682811,0.652485
2599,0.848077,0.875000,0.688262,0.749097
2799,0.845714,0.815000,0.683130,0.615624
2999,0.844333,0.825000,0.679824,0.631811
3199,0.843125,0.825000,0.677609,0.645534
3399,0.843824,0.855000,0.678907,0.699793
3599,0.842778,0.825000,0.676512,0.634732
3799,0.843684,0.860000,0.678366,0.712141
3999,0.842250,0.815000,0.675095,0.610772
4199,0.842381,0.845000,0.675719,0.686742
4399,0.841818,0.830000,0.674754,0.654472
4599,0.838696,0.770000,0.667720,0.498638
4799,0.836458,0.785000,0.662909,0.551148
4999,0.833000,0.750000,0.655641,0.484695
5199,0.829231,0.735000,0.647889,0.464538
5399,0.826667,0.760000,0.641635,0.443155
5599,0.824464,0.765000,0.636147,0.455767
5799,0.822759,0.775000,0.632310,0.525316
5999,0.821167,0.775000,0.628604,0.516025
6199,0.817419,0.705000,0.620281,0.352928
6399,0.815781,0.765000,0.616470,0.490791
6599,0.814242,0.765000,0.612661,0.475680
6799,0.811176,0.710000,0.605774,0.361796
6999,0.808571,0.720000,0.600392,0.421488
7199,0.805833,0.710000,0.594350,0.376545
7399,0.805000,0.775000,0.592396,0.524011
7599,0.803158,0.735000,0.588550,0.452931
7799,0.802051,0.760000,0.586233,0.500780
7999,0.800250,0.730000,0.582179,0.417161
8199,0.798049,0.710000,0.577767,0.407135
8399,0.797262,0.765000,0.576064,0.508162
8599,0.795930,0.740000,0.573052,0.443076
8799,0.795000,0.755000,0.571433,0.503546
8999,0.794222,0.760000,0.569185,0.450235
9199,0.793370,0.755000,0.567441,0.494220
9399,0.791809,0.720000,0.564297,0.428863
9599,0.791146,0.760000,0.562659,0.481585
9799,0.789796,0.725000,0.559948,0.432405
9999,0.788600,0.730000,0.557302,0.428027
