# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.595000,0.595000,0.424041,0.424041
399,0.567500,0.540000,0.387708,0.351565
599,0.548333,0.510000,0.358825,0.289984
799,0.528750,0.470000,0.341447,0.277782
999,0.506000,0.415000,0.314478,0.166281
1199,0.500833,0.475000,0.303635,0.211356
1399,0.483571,0.380000,0.282504,0.159607
1599,0.447500,0.195000,0.269540,0.020890
1799,0.418333,0.185000,0.247806,0.059326
1999,0.394500,0.180000,0.227215,0.075536
2199,0.376364,0.195000,0.211431,0.049783
2399,0.357500,0.150000,0.193419,0.025704
2599,0.353462,0.305000,0.188001,0.096757
2799,0.348929,0.290000,0.183696,0.097295
2999,0.338333,0.190000,0.177932,0.086294
3199,0.329062,0.190000,0.172085,0.069981
3399,0.312059,0.040000,0.157535,-0.034037
3599,0.297500,0.050000,0.145441,-0.062046
3799,0.296053,0.270000,0.143851,0.071129
3999,0.287500,0.125000,0.138978,0.055280
4199,0.274762,0.020000,0.130793,0.010026
4399,0.263182,0.020000,0.123586,0.009601
4599,0.251739,0.000000,0.115871,-0.018408
4799,0.242292,0.025000,0.110712,-0.036600
4999,0.234400,0.045000,0.106556,0.007044
5199,0.227308,0.050000,0.102590,-0.019696
5399,0.221481,0.070000,0.100662,0.041237
5599,0.214643,0.030000,0.096788,0.014102
5799,0.212414,0.150000,0.090811,-0.070832
5999,0.216167,0.325000,0.091645,-0.007124
6199,0.226452,0.535000,0.098666,0.297636
6399,0.234687,0.490000,0.106535,0.341638
6599,0.232727,0.170000,0.106204,0.019115
6799,0.230735,0.165000,0.105400,0.107167
6999,0.236714,0.440000,0.113027,0.316218
7199,0.241250,0.400000,0.116321,0.226156
7399,0.248378,0.505000,0.124240,0.361599
7599,0.259605,0.675000,0.138437,0.450247
7799,0.268974,0.625000,0.149274,0.388778
7999,0.277000,0.590000,0.157552,0.399223
8199,0.283902,0.560000,0.163727,0.387528
8399,0.288095,0.460000,0.165860,0.256326
8599,0.288488,0.305000,0.165693,0.144773
8799,0.284773,0.125000,0.161597,-0.025100
8999,0.283111,0.210000,0.159690,0.062426
9199,0.279022,0.095000,0.155520,-0.015855
9399,0.275851,0.130000,0.152986,0.024363
9599,0.270521,0.020000,0.149354,-0.011613
9799,0.266122,0.055000,0.146620,0.008395
9999,0.264100,0.165000,0.143490,0.011776
