# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.830000,0.830000,0.665881,0.665881
399,0.722500,0.615000,0.431964,0.169364
599,0.761667,0.840000,0.496503,0.623175
799,0.791250,0.880000,0.567397,0.763384
999,0.797000,0.820000,0.572549,0.582609
1199,0.811667,0.885000,0.611847,0.772052
1399,0.812143,0.815000,0.609734,0.588340
1599,0.814375,0.830000,0.605542,0.482339
1799,0.808333,0.760000,0.591036,0.474376
1999,0.795000,0.675000,0.560189,0.276653
2199,0.782273,0.655000,0.531019,0.237738
2399,0.751667,0.415000,0.471445,0.053857
2599,0.745769,0.675000,0.458005,0.297297
2799,0.735714,0.605000,0.443028,0.278802
2999,0.745667,0.885000,0.467550,0.771372
3199,0.755938,0.910000,0.492321,0.820574
3399,0.762353,0.865000,0.508866,0.734513
3599,0.768056,0.865000,0.522329,0.730108
3799,0.763421,0.680000,0.514914,0.396852
3999,0.768500,0.865000,0.526372,0.730000
4199,0.770714,0.815000,0.531274,0.627242
4399,0.775000,0.865000,0.540523,0.731129
4599,0.775217,0.780000,0.542721,0.567270
4799,0.777083,0.820000,0.545628,0.612737
4999,0.773000,0.675000,0.537819,0.368932
5199,0.779038,0.930000,0.552906,0.850427
5399,0.777963,0.750000,0.551083,0.506075
5599,0.782321,0.900000,0.559819,0.798061
5799,0.781379,0.755000,0.556753,0.431159
5999,0.779167,0.715000,0.550646,0.262804
6199,0.775000,0.650000,0.541357,0.215335
6399,0.772188,0.685000,0.533414,0.059982
6599,0.766515,0.585000,0.521736,0.162969
6799,0.764118,0.685000,0.518151,0.392947
6999,0.762571,0.710000,0.514054,0.340384
7199,0.761944,0.740000,0.512415,0.449794
7399,0.757297,0.590000,0.502252,0.096916
7599,0.757237,0.755000,0.502751,0.522324
7799,0.754103,0.635000,0.496506,0.275074
7999,0.758375,0.925000,0.507084,0.842734
8199,0.762317,0.920000,0.515117,0.837382
8399,0.765000,0.875000,0.521566,0.749449
8599,0.766512,0.830000,0.524210,0.643419
8799,0.766818,0.780000,0.525758,0.577126
8999,0.769111,0.870000,0.530617,0.739165
9199,0.769783,0.800000,0.531704,0.588774
9399,0.769362,0.750000,0.529629,0.342105
9599,0.767917,0.700000,0.527138,0.423963
9799,0.765306,0.640000,0.521903,0.285076
9999,0.764000,0.700000,0.517523,0.000000
