# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.710000,0.710000,0.411347,0.411347
399,0.697500,0.685000,0.396057,0.377839
599,0.723333,0.775000,0.446341,0.547557
799,0.715000,0.690000,0.429740,0.380000
999,0.716000,0.720000,0.432000,0.441174
1199,0.705000,0.650000,0.411156,0.303413
1399,0.705714,0.710000,0.412712,0.422081
1599,0.706875,0.715000,0.415576,0.432384
1799,0.705000,0.690000,0.411547,0.378944
1999,0.708500,0.740000,0.417914,0.476071
2199,0.708182,0.705000,0.416781,0.405242
2399,0.707083,0.695000,0.414474,0.389022
2599,0.705000,0.680000,0.410433,0.362296
2799,0.703571,0.685000,0.408287,0.380896
2999,0.702333,0.685000,0.405330,0.357405
3199,0.704688,0.740000,0.409183,0.461084
3399,0.702941,0.675000,0.406068,0.358848
3599,0.704444,0.730000,0.408530,0.446551
3799,0.702895,0.675000,0.404924,0.336870
3999,0.703500,0.715000,0.406411,0.432497
4199,0.700238,0.635000,0.400271,0.278085
4399,0.700000,0.695000,0.399852,0.391218
4599,0.699348,0.685000,0.398360,0.363636
4799,0.700833,0.735000,0.401804,0.479882
4999,0.702600,0.745000,0.406023,0.501953
5199,0.700577,0.650000,0.402078,0.303967
5399,0.700926,0.710000,0.402695,0.419129
5599,0.700357,0.685000,0.401674,0.373259
5799,0.700172,0.695000,0.401213,0.386688
5999,0.699000,0.665000,0.398888,0.331604
6199,0.698710,0.690000,0.398741,0.393406
6399,0.699688,0.730000,0.400235,0.449429
6599,0.700909,0.740000,0.402323,0.466119
6799,0.701324,0.715000,0.403202,0.432158
6999,0.700571,0.675000,0.401787,0.355415
7199,0.700556,0.700000,0.401300,0.380933
7399,0.701216,0.725000,0.402371,0.441511
7599,0.701316,0.705000,0.402721,0.414683
7799,0.700256,0.660000,0.400773,0.327266
7999,0.700375,0.705000,0.400975,0.409054
8199,0.699634,0.670000,0.399434,0.337349
8399,0.699286,0.685000,0.398735,0.370000
8599,0.700000,0.730000,0.400000,0.453441
8799,0.699659,0.685000,0.399089,0.368864
8999,0.698444,0.645000,0.396963,0.302554
9199,0.698043,0.680000,0.396135,0.359039
9399,0.698191,0.705000,0.396665,0.416419
9599,0.696979,0.640000,0.394121,0.272360
9799,0.697041,0.700000,0.394217,0.399339
9999,0.696300,0.660000,0.392445,0.304632
