# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.led_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.715000,0.715000,0.681377,0.681377
399,0.700000,0.685000,0.665906,0.648927
599,0.696667,0.690000,0.662516,0.654942
799,0.697500,0.700000,0.663665,0.666008
999,0.697000,0.695000,0.663097,0.660300
1199,0.690833,0.660000,0.656221,0.620345
1399,0.687857,0.670000,0.653066,0.632823
1599,0.685000,0.665000,0.649983,0.627623
1799,0.682778,0.665000,0.647517,0.628026
1999,0.681000,0.665000,0.645523,0.627384
2199,0.680455,0.675000,0.644924,0.638135
2399,0.677500,0.645000,0.641598,0.603030
2599,0.677308,0.675000,0.641377,0.637893
2799,0.676786,0.670000,0.640825,0.632864
2999,0.680667,0.735000,0.645158,0.704447
3199,0.684688,0.745000,0.649626,0.716202
3399,0.684706,0.685000,0.649664,0.648280
3599,0.685278,0.695000,0.650293,0.659579
3799,0.683421,0.650000,0.648215,0.609876
3999,0.683750,0.690000,0.648543,0.652310
4199,0.686190,0.735000,0.651260,0.705080
4399,0.686818,0.700000,0.651978,0.666259
4599,0.685435,0.655000,0.650446,0.616069
4799,0.685000,0.675000,0.649977,0.637206
4999,0.686800,0.730000,0.651983,0.699282
5199,0.687692,0.710000,0.652973,0.676808
5399,0.687407,0.680000,0.652680,0.643553
5599,0.686250,0.655000,0.651402,0.613554
5799,0.687931,0.735000,0.653256,0.703828
5999,0.688333,0.700000,0.653712,0.666082
6199,0.689032,0.710000,0.654486,0.677069
6399,0.690625,0.740000,0.656250,0.710581
6599,0.691515,0.720000,0.657243,0.688612
6799,0.692647,0.730000,0.658500,0.697927
6999,0.692857,0.700000,0.658727,0.665272
7199,0.693056,0.700000,0.658950,0.666008
7399,0.692297,0.665000,0.658102,0.625709
7599,0.691711,0.670000,0.657447,0.633313
7799,0.690000,0.625000,0.655548,0.582858
7999,0.690625,0.715000,0.656243,0.681582
8199,0.691098,0.710000,0.656764,0.676113
8399,0.691190,0.695000,0.656871,0.660583
8599,0.692674,0.755000,0.658516,0.726928
8799,0.693182,0.715000,0.659078,0.682159
8999,0.692111,0.645000,0.657895,0.604842
9199,0.693370,0.750000,0.659298,0.721549
9399,0.692872,0.670000,0.658748,0.632762
9599,0.694063,0.750000,0.660069,0.721231
9799,0.693571,0.670000,0.659527,0.632220
9999,0.694400,0.735000,0.660450,0.705236
