# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.135000,0.135000,0.000000,0.000000
399,0.130000,0.125000,0.000000,0.000000
599,0.193333,0.320000,0.000000,0.000000
799,0.208750,0.255000,0.011026,0.045178
999,0.216000,0.245000,0.008965,0.000000
1199,0.218333,0.230000,0.008747,0.007636
1399,0.255714,0.480000,0.008153,0.000000
1599,0.324375,0.805000,0.009500,0.041062
1799,0.327778,0.355000,0.008538,0.000000
1999,0.311500,0.165000,0.007432,0.000000
2199,0.302273,0.210000,0.006635,0.000000
2399,0.299167,0.265000,0.006052,0.000000
2599,0.329231,0.690000,0.005981,0.000000
2799,0.357857,0.730000,0.008126,0.083969
2999,0.343667,0.145000,0.007354,0.000000
3199,0.332188,0.160000,0.006727,0.000000
3399,0.325882,0.225000,0.006250,0.000000
3599,0.342500,0.625000,0.006133,0.000000
3799,0.366579,0.800000,0.006144,0.000000
3999,0.352000,0.075000,0.005650,0.000000
4199,0.340952,0.120000,0.005251,0.000000
4399,0.332045,0.145000,0.004916,0.000000
4599,0.333043,0.355000,0.005137,0.010129
4799,0.329792,0.255000,0.004887,0.000000
4999,0.331800,0.380000,0.004713,0.000000
5199,0.347692,0.745000,0.004699,0.000000
5399,0.355000,0.545000,0.004600,0.000000
5599,0.350357,0.225000,0.004391,0.000000
5799,0.346724,0.245000,0.004207,0.000000
5999,0.354500,0.580000,0.004141,0.000000
6199,0.365000,0.680000,0.004106,0.000000
6399,0.358906,0.170000,0.003924,0.000000
6599,0.355000,0.230000,0.003772,0.000000
6799,0.366912,0.760000,0.003764,0.000000
6999,0.364000,0.265000,0.003634,0.000000
7199,0.357778,0.140000,0.003484,0.000000
7399,0.355676,0.280000,0.003372,0.000000
7599,0.352105,0.220000,0.003256,0.000000
7799,0.352821,0.380000,0.003177,0.000000
7999,0.363250,0.770000,0.003172,0.000000
8199,0.362439,0.330000,0.003089,0.000000
8399,0.360714,0.290000,0.003004,0.000000
8599,0.368953,0.715000,0.002990,0.000000
8799,0.367273,0.295000,0.002912,0.000000
8999,0.366667,0.340000,0.002844,0.000000
9199,0.374348,0.720000,0.002833,0.000000
9399,0.368404,0.095000,0.002735,0.000000
9599,0.368125,0.355000,0.002676,0.000000
9799,0.367041,0.315000,0.002614,0.000000
9999,0.373000,0.665000,0.002597,0.000000
