# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.SGDClassifier.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.660000,0.660000,0.253076,0.253076
399,0.675000,0.690000,0.312842,0.362599
599,0.666667,0.650000,0.296270,0.263546
799,0.663750,0.655000,0.296989,0.301761
999,0.673000,0.710000,0.306604,0.350431
1199,0.667500,0.640000,0.300593,0.272139
1399,0.662857,0.635000,0.291557,0.237678
1599,0.664375,0.675000,0.290623,0.278579
1799,0.666111,0.680000,0.292815,0.310716
1999,0.669000,0.695000,0.299438,0.358570
2199,0.668182,0.660000,0.300833,0.312854
2399,0.666667,0.650000,0.295429,0.233800
2599,0.664231,0.635000,0.292412,0.255406
2799,0.664286,0.665000,0.291059,0.271897
2999,0.665000,0.675000,0.291165,0.292709
3199,0.662813,0.630000,0.287963,0.238996
3399,0.664706,0.695000,0.290912,0.340541
3599,0.663056,0.635000,0.288731,0.253579
3799,0.662368,0.650000,0.285454,0.219011
3999,0.662500,0.665000,0.287026,0.315488
4199,0.662857,0.670000,0.290168,0.342957
4399,0.662500,0.655000,0.290492,0.298210
4599,0.662174,0.655000,0.290011,0.279449
4799,0.661250,0.640000,0.287921,0.239624
4999,0.662600,0.695000,0.289321,0.328785
5199,0.662308,0.655000,0.288232,0.259498
5399,0.660926,0.625000,0.284557,0.184960
5599,0.661250,0.670000,0.285222,0.304384
5799,0.660000,0.625000,0.284208,0.258160
5999,0.661500,0.705000,0.285769,0.334536
6199,0.660323,0.625000,0.281790,0.149660
6399,0.660781,0.675000,0.280412,0.224344
6599,0.660303,0.645000,0.280207,0.274029
6799,0.661324,0.695000,0.281800,0.338108
6999,0.662143,0.690000,0.282796,0.318606
7199,0.662361,0.670000,0.282743,0.280654
7399,0.660405,0.590000,0.278232,0.111881
7599,0.658947,0.605000,0.275126,0.160468
7799,0.658205,0.630000,0.274210,0.239856
7999,0.659000,0.690000,0.275433,0.324251
8199,0.659390,0.675000,0.276167,0.305852
8399,0.659405,0.660000,0.276088,0.272883
8599,0.661279,0.740000,0.279190,0.417040
8799,0.661136,0.655000,0.278786,0.262032
8999,0.661333,0.670000,0.278682,0.274646
9199,0.660978,0.645000,0.277733,0.234254
9399,0.661383,0.680000,0.278539,0.316458
9599,0.660937,0.640000,0.276740,0.196877
9799,0.661939,0.710000,0.278218,0.349776
9999,0.662700,0.700000,0.278214,0.252709
